instrument,sample,O,C,E,A,N
BFI-2,0,4.583333333333333,4.166666666666667,3.6666666666666665,5.0,1.5833333333333333
BFI-2,1,3.9166666666666665,4.25,3.75,4.333333333333333,2.0
BFI-2,2,3.9166666666666665,3.6666666666666665,3.5833333333333335,4.166666666666667,2.5
BFI-2,3,4.083333333333333,3.9166666666666665,3.5833333333333335,4.666666666666667,2.0
BFI-2,4,3.3333333333333335,3.4166666666666665,3.1666666666666665,4.166666666666667,3.25
BFI-2,5,4.0,4.0,3.6666666666666665,4.416666666666667,1.9166666666666667
BFI-2,6,4.083333333333333,3.9166666666666665,3.0833333333333335,4.416666666666667,2.0833333333333335
BFI-2,7,4.166666666666667,3.9166666666666665,3.5,4.5,1.9166666666666667
BFI-2,8,4.166666666666667,4.166666666666667,3.5,4.666666666666667,1.9166666666666667
BFI-2,9,4.583333333333333,4.333333333333333,3.5833333333333335,4.916666666666667,2.0
BFI-2,10,4.333333333333333,4.0,3.5,4.666666666666667,1.8333333333333333
BFI-2,11,4.083333333333333,3.75,3.5833333333333335,4.5,2.1666666666666665
BFI-2,12,4.75,4.0,3.5,4.833333333333333,1.8333333333333333
BFI-2,13,3.6666666666666665,3.6666666666666665,3.1666666666666665,4.416666666666667,2.1666666666666665
BFI-2,14,4.083333333333333,4.166666666666667,3.75,4.666666666666667,1.9166666666666667
BFI-2,15,4.333333333333333,4.166666666666667,4.0,4.583333333333333,2.25
BFI-2,16,4.25,3.8333333333333335,3.5833333333333335,4.416666666666667,2.0833333333333335
BFI-2,17,4.25,4.0,3.6666666666666665,4.666666666666667,2.1666666666666665
BFI-2,18,3.9166666666666665,4.25,3.4166666666666665,4.666666666666667,2.0833333333333335
BFI-2,19,3.8333333333333335,4.25,3.5,4.5,2.1666666666666665
BFI-2,20,4.25,3.9166666666666665,3.6666666666666665,4.583333333333333,2.0
BFI-2,21,4.0,4.083333333333333,3.1666666666666665,4.583333333333333,2.0833333333333335
BFI-2,22,4.166666666666667,3.8333333333333335,3.5,4.0,2.0
BFI-2,23,3.8333333333333335,4.0,3.5,4.333333333333333,2.0
BFI-2,24,4.666666666666667,3.6666666666666665,3.5,4.75,2.1666666666666665
BFI-2,25,4.25,4.25,3.0,4.25,1.75
BFI-2,26,3.75,4.25,3.5,4.666666666666667,2.0833333333333335
BFI-2,27,4.25,4.0,3.5833333333333335,4.333333333333333,2.1666666666666665
BFI-2,28,4.083333333333333,4.583333333333333,3.4166666666666665,4.666666666666667,2.1666666666666665
BFI-2,29,4.333333333333333,4.0,3.5833333333333335,4.833333333333333,2.0
BFI-2,30,4.083333333333333,3.75,3.0,4.0,2.4166666666666665
BFI-2,31,4.333333333333333,4.166666666666667,3.5,4.916666666666667,1.8333333333333333
BFI-2,32,4.083333333333333,3.75,3.6666666666666665,4.583333333333333,1.9166666666666667
BFI-2,33,4.083333333333333,3.6666666666666665,3.5,4.25,2.0833333333333335
