item_id,item_number,domain_code,domain,scoring_direction,question_text
G1,1,E,Extraversion,forward,Extraverted
G2,2,E,Extraversion,forward,Talkative
G3,3,E,Extraversion,forward,Assertive
G4,4,E,Extraversion,forward,Verbal
G5,5,E,Extraversion,forward,Energetic
G6,6,E,Extraversion,forward,Bold
G7,7,E,Extraversion,forward,Active
G8,8,E,Extraversion,forward,Daring
G9,9,E,Extraversion,forward,Vigorous
G10,10,E,Extraversion,forward,Unrestrained
G11,11,E,Extraversion,reverse,Introverted
G12,12,E,Extraversion,reverse,Shy
G13,13,E,Extraversion,reverse,Quiet
G14,14,E,Extraversion,reverse,Reserved
G15,15,E,Extraversion,reverse,Untalkative
G16,16,E,Extraversion,reverse,Inhibited
G17,17,E,Extraversion,reverse,Withdrawn
G18,18,E,Extraversion,reverse,Timid
G19,19,E,Extraversion,reverse,Bashful
G20,20,E,Extraversion,reverse,Unadventurous
G21,21,A,Agreeableness,forward,Kind
G22,22,A,Agreeableness,forward,Cooperative
G23,23,A,Agreeableness,forward,Sympathetic
G24,24,A,Agreeableness,forward,Warm
G25,25,A,Agreeableness,forward,Trustful
G26,26,A,Agreeableness,forward,Considerate
G27,27,A,Agreeableness,forward,Pleasant
G28,28,A,Agreeableness,forward,Agreeable
G29,29,A,Agreeableness,forward,Helpful
G30,30,A,Agreeableness,forward,Generous
G31,31,A,Agreeableness,reverse,Cold
G32,32,A,Agreeableness,reverse,Unkind
G33,33,A,Agreeableness,reverse,Unsympathetic
G34,34,A,Agreeableness,reverse,Distrustful
G35,35,A,Agreeableness,reverse,Harsh
G36,36,A,Agreeableness,reverse,Demanding
G37,37,A,Agreeableness,reverse,Rude
G38,38,A,Agreeableness,reverse,Selfish
G39,39,A,Agreeableness,reverse,Uncooperative
G40,40,A,Agreeableness,reverse,Uncharitable
G41,41,C,Conscientiousness,forward,Organized
G42,42,C,Conscientiousness,forward,Systematic
G43,43,C,Conscientiousness,forward,Thorough
G44,44,C,Conscientiousness,forward,Practical
G45,45,C,Conscientiousness,forward,Neat
G46,46,C,Conscientiousness,forward,Efficient
G47,47,C,Conscientiousness,forward,Careful
G48,48,C,Conscientiousness,forward,Steady
G49,49,C,Conscientiousness,forward,Conscientious
G50,50,C,Conscientiousness,forward,Prompt
G51,51,C,Conscientiousness,reverse,Disorganized
G52,52,C,Conscientiousness,reverse,Careless
G53,53,C,Conscientiousness,reverse,Unsystematic
G54,54,C,Conscientiousness,reverse,Inefficient
G55,55,C,Conscientiousness,reverse,Undependable
G56,56,C,Conscientiousness,reverse,Impractical
G57,57,C,Conscientiousness,reverse,Negligent
G58,58,C,Conscientiousness,reverse,Inconsistent
G59,59,C,Conscientiousness,reverse,Haphazard
G60,60,C,Conscientiousness,reverse,Sloppy
G61,61,N,Neuroticism,reverse,Unenvious
G62,62,N,Neuroticism,reverse,Unemotional
G63,63,N,Neuroticism,reverse,Relaxed
G64,64,N,Neuroticism,reverse,Imperturbable
G65,65,N,Neuroticism,reverse,Unexcitable
G66,66,N,Neuroticism,reverse,Undemanding
G67,67,N,Neuroticism,forward,Anxious
G68,68,N,Neuroticism,forward,Moody
G69,69,N,Neuroticism,forward,Temperamental
G70,70,N,Neuroticism,forward,Envious
G71,71,N,Neuroticism,forward,Emotional
G72,72,N,Neuroticism,forward,Irritable
G73,73,N,Neuroticism,forward,Fretful
G74,74,N,Neuroticism,forward,Jealous
G75,75,N,Neuroticism,forward,Touchy
G76,76,N,Neuroticism,forward,Nervous
G77,77,N,Neuroticism,forward,Insecure
G78,78,N,Neuroticism,forward,Fearful
G79,79,N,Neuroticism,forward,Self-pitying
G80,80,N,Neuroticism,forward,High-strung
G81,81,O,Openness,forward,Intellectual
G82,82,O,Openness,forward,Creative
G83,83,O,Openness,forward,Complex
G84,84,O,Openness,forward,Imaginative
G85,85,O,Openness,forward,Bright
G86,86,O,Openness,forward,Philosophical
G87,87,O,Openness,forward,Artistic
G88,88,O,Openness,forward,Deep
G89,89,O,Openness,forward,Innovative
G90,90,O,Openness,forward,Introspective
G91,91,O,Openness,reverse,Unintellectual
G92,92,O,Openness,reverse,Unintelligent
G93,93,O,Openness,reverse,Unimaginative
G94,94,O,Openness,reverse,Uncreative
G95,95,O,Openness,reverse,Simple
G96,96,O,Openness,reverse,Unsophisticated
G97,97,O,Openness,reverse,Unreflective
G98,98,O,Openness,reverse,Imperceptive
G99,99,O,Openness,reverse,Uninquisitive
G100,100,O,Openness,reverse,Shallow
