item_id,item_number,domain_code,domain,facet_code,facet,scoring_direction,question_text
I1,1,N,Neuroticism,N1,Anxiety,forward,Worry about things.
I2,2,E,Extraversion,E1,Friendliness,forward,Make friends easily.
I3,3,O,Openness,O1,Imagination,forward,Have a vivid imagination.
I4,4,A,Agreeableness,A1,Trust,forward,Trust others.
I5,5,C,Conscientiousness,C1,Self-Efficacy,forward,Complete tasks successfully.
I6,6,N,Neuroticism,N2,Anger,forward,Get angry easily.
I7,7,E,Extraversion,E2,Gregariousness,forward,Love large parties.
I8,8,O,Openness,O2,Artistic Interests,forward,Believe in the importance of art.
I9,9,A,Agreeableness,A2,Morality,reverse,Use others for my own ends.
I10,10,C,Conscientiousness,C2,Orderliness,forward,Like to tidy up.
I11,11,N,Neuroticism,N3,Depression,forward,Often feel blue.
I12,12,E,Extraversion,E3,Assertiveness,forward,Take charge.
I13,13,O,Openness,O3,Emotionality,forward,Experience my emotions intensely.
I14,14,A,Agreeableness,A3,Altruism,forward,Love to help others.
I15,15,C,Conscientiousness,C3,Dutifulness,forward,Keep my promises.
I16,16,N,Neuroticism,N4,Self-Consciousness,forward,Find it difficult to approach others.
I17,17,E,Extraversion,E4,Activity Level,forward,Am always busy.
I18,18,O,Openness,O4,Adventurousness,forward,Prefer variety to routine.
I19,19,A,Agreeableness,A4,Cooperation,reverse,Love a good fight.
I20,20,C,Conscientiousness,C4,Achievement-Striving,forward,Work hard.
I21,21,N,Neuroticism,N5,Immoderation,forward,Go on binges.
I22,22,E,Extraversion,E5,Excitement-Seeking,forward,Love excitement.
I23,23,O,Openness,O5,Intellect,forward,Love to read challenging material.
I24,24,A,Agreeableness,A5,Modesty,reverse,Believe that I am better than others.
I25,25,C,Conscientiousness,C5,Self-Discipline,forward,Am always prepared.
I26,26,N,Neuroticism,N6,Vulnerability,forward,Panic easily.
I27,27,E,Extraversion,E6,Cheerfulness,forward,Radiate joy.
I28,28,O,Openness,O6,Liberalism,forward,Tend to vote for liberal political candidates.
I29,29,A,Agreeableness,A6,Sympathy,forward,Sympathize with the homeless.
I30,30,C,Conscientiousness,C6,Cautiousness,reverse,Jump into things without thinking.
I31,31,N,Neuroticism,N1,Anxiety,forward,Fear for the worst.
I32,32,E,Extraversion,E1,Friendliness,forward,Feel comfortable around people.
