config,task,score_base,score_dpo,delta,z,p_raw,p_bh,sig_fdr05,is_macro
A HIGH β=0.01,ARC-C,0.6195,0.6212,+0.0017,0.085,0.9322,1,,0
A HIGH β=0.01,BoolQ,0.8580,0.8590,+0.0010,0.064,0.9489,1,,0
A HIGH β=0.01,GSM8K,0.6700,0.6900,+0.0200,0.428,0.6688,1,,0
A HIGH β=0.01,HellaSwag,0.7250,0.7250,+0.0000,0.000,1,1,,0
A HIGH β=0.01,MMLU,0.7074,0.7158,+0.0084,0.526,0.5988,1,,0
A HIGH β=0.01,Macro,0.6941,0.7019,+0.0078,0.843,0.3991,1,,1
A HIGH β=0.01,TruthfulQA,0.5297,0.5518,+0.0221,1.052,0.2927,1,,0
A HIGH β=0.01,WinoGrande,0.7490,0.7506,+0.0016,0.092,0.9269,1,,0
A HIGH β=0.1,ARC-C,0.6195,0.6220,+0.0026,0.128,0.8984,1,,0
A HIGH β=0.1,BoolQ,0.8580,0.8650,+0.0070,0.453,0.6506,1,,0
A HIGH β=0.1,GSM8K,0.6700,0.7000,+0.0300,0.645,0.5192,1,,0
A HIGH β=0.1,HellaSwag,0.7250,0.7310,+0.0060,0.301,0.7631,1,,0
A HIGH β=0.1,MMLU,0.7074,0.7151,+0.0077,0.481,0.6304,1,,0
A HIGH β=0.1,Macro,0.6941,0.7058,+0.0118,1.270,0.204,1,,1
A HIGH β=0.1,TruthfulQA,0.5297,0.5548,+0.0251,1.193,0.2327,1,,0
A HIGH β=0.1,WinoGrande,0.7490,0.7530,+0.0039,0.230,0.8184,1,,0
A HIGH β=0.5,ARC-C,0.6195,0.6229,+0.0034,0.170,0.8648,1,,0
A HIGH β=0.5,BoolQ,0.8580,0.8620,+0.0040,0.258,0.7967,1,,0
A HIGH β=0.5,GSM8K,0.6700,0.6750,+0.0050,0.106,0.9154,1,,0
A HIGH β=0.5,HellaSwag,0.7250,0.7290,+0.0040,0.201,0.841,1,,0
A HIGH β=0.5,MMLU,0.7074,0.7081,+0.0007,0.044,0.965,1,,0
A HIGH β=0.5,Macro,0.6941,0.6994,+0.0053,0.572,0.5674,1,,1
A HIGH β=0.5,TruthfulQA,0.5297,0.5514,+0.0217,1.036,0.3001,1,,0
A HIGH β=0.5,WinoGrande,0.7490,0.7474,-0.0016,-0.092,0.9271,1,,0
A LOW β=0.01,ARC-C,0.6195,0.6186,-0.0009,-0.043,0.9661,1,,0
A LOW β=0.01,BoolQ,0.8580,0.8620,+0.0040,0.258,0.7967,1,,0
A LOW β=0.01,GSM8K,0.6700,0.6550,-0.0150,-0.316,0.7516,1,,0
A LOW β=0.01,HellaSwag,0.7250,0.7200,-0.0050,-0.250,0.8029,1,,0
A LOW β=0.01,MMLU,0.7074,0.7144,+0.0070,0.440,0.6598,1,,0
A LOW β=0.01,Macro,0.6941,0.6897,-0.0043,-0.464,0.6425,1,,1
A LOW β=0.01,TruthfulQA,0.5297,0.5099,-0.0197,-0.950,0.3423,1,,0
A LOW β=0.01,WinoGrande,0.7490,0.7482,-0.0008,-0.046,0.9635,1,,0
A LOW β=0.1,ARC-C,0.6195,0.6203,+0.0009,0.043,0.9661,1,,0
A LOW β=0.1,BoolQ,0.8580,0.8620,+0.0040,0.258,0.7967,1,,0
A LOW β=0.1,GSM8K,0.6700,0.6700,+0.0000,0.000,1,1,,0
A LOW β=0.1,HellaSwag,0.7250,0.7210,-0.0040,-0.200,0.8417,1,,0
