variant,MMLU,MMLU_lo,MMLU_hi,MMLU_N,ARC-C,ARC-C_lo,ARC-C_hi,ARC-C_N,HellaSwag,HellaSwag_lo,HellaSwag_hi,HellaSwag_N,WinoGrande,WinoGrande_lo,WinoGrande_hi,WinoGrande_N,TruthfulQA,TruthfulQA_lo,TruthfulQA_hi,TruthfulQA_N,BoolQ,BoolQ_lo,BoolQ_hi,BoolQ_N,GSM8K,GSM8K_lo,GSM8K_hi,GSM8K_N,Macro,Macro_lo,Macro_hi
SFT baseline,0.7074,0.6851,0.7296,1425,0.6195,0.5916,0.6473,1172,0.7250,0.6973,0.7527,1000,0.7490,0.7251,0.7729,1267,0.5297,0.5007,0.5586,817,0.8580,0.8364,0.8796,1000,0.6700,0.6047,0.7353,200,0.6941,0.6812,0.7070
O HIGH β=0.01,0.7172,0.6951,0.7393,1425,0.6271,0.5994,0.6548,1172,0.7290,0.7014,0.7566,1000,0.7514,0.7276,0.7752,1267,0.5439,0.5147,0.5732,817,0.8630,0.8417,0.8843,1000,0.7000,0.6363,0.7637,200,0.7045,0.6918,0.7173
O HIGH β=0.1,0.7151,0.6930,0.7371,1425,0.6246,0.5968,0.6523,1172,0.7250,0.6973,0.7527,1000,0.7530,0.7292,0.7767,1267,0.5409,0.5117,0.5701,817,0.8620,0.8406,0.8834,1000,0.7050,0.6416,0.7684,200,0.7036,0.6909,0.7163
O HIGH β=0.5,0.7172,0.6950,0.7393,1425,0.6237,0.5960,0.6515,1172,0.7250,0.6973,0.7527,1000,0.7443,0.7202,0.7683,1267,0.5399,0.5109,0.5689,817,0.8600,0.8385,0.8815,1000,0.6800,0.6152,0.7448,200,0.6986,0.6857,0.7115
O LOW β=0.01,0.7123,0.6902,0.7344,1425,0.6195,0.5916,0.6473,1172,0.7230,0.6952,0.7508,1000,0.7474,0.7235,0.7714,1267,0.5206,0.4919,0.5494,817,0.8610,0.8395,0.8825,1000,0.6700,0.6047,0.7353,200,0.6934,0.6805,0.7063
O LOW β=0.1,0.7158,0.6937,0.7379,1425,0.6169,0.5890,0.6447,1172,0.7250,0.6973,0.7527,1000,0.7498,0.7259,0.7737,1267,0.5209,0.4921,0.5497,817,0.8580,0.8364,0.8796,1000,0.6700,0.6047,0.7353,200,0.6938,0.6809,0.7067
O LOW β=0.5,0.7123,0.6901,0.7344,1425,0.6177,0.5899,0.6456,1172,0.7180,0.6901,0.7459,1000,0.7498,0.7259,0.7737,1267,0.5228,0.4939,0.5516,817,0.8650,0.8438,0.8862,1000,0.7000,0.6363,0.7637,200,0.6979,0.6852,0.7107
C HIGH β=0.01,0.7109,0.6887,0.7330,1425,0.6254,0.5977,0.6531,1172,0.7340,0.7066,0.7614,1000,0.7530,0.7292,0.7767,1267,0.5442,0.5150,0.5734,817,0.8620,0.8406,0.8834,1000,0.6850,0.6205,0.7495,200,0.7021,0.6893,0.7149
C HIGH β=0.1,0.7109,0.6886,0.7332,1425,0.6254,0.5977,0.6531,1172,0.7300,0.7025,0.7575,1000,0.7459,0.7219,0.7698,1267,0.5432,0.5141,0.5724,817,0.8600,0.8385,0.8815,1000,0.6700,0.6047,0.7353,200,0.6979,0.6850,0.7108
C HIGH β=0.5,0.7151,0.6930,0.7372,1425,0.6237,0.5960,0.6515,1172,0.7220,0.6942,0.7498,1000,0.7498,0.7259,0.7737,1267,0.5409,0.5118,0.5701,817,0.8620,0.8406,0.8834,1000,0.6750,0.6099,0.7401,200,0.6984,0.6855,0.7113
C LOW β=0.01,0.7116,0.6895,0.7337,1425,0.6186,0.5908,0.6464,1172,0.7170,0.6891,0.7449,1000,0.7506,0.7268,0.7744,1267,0.5247,0.4960,0.5535,817,0.8590,0.8374,0.8806,1000,0.6450,0.5785,0.7115,200,0.6895,0.6765,0.7025
C LOW β=0.1,0.7060,0.6838,0.7281,1425,0.6143,0.5865,0.6422,1172,0.7200,0.6922,0.7478,1000,0.7474,0.7235,0.7714,1267,0.5239,0.4952,0.5527,817,0.8610,0.8395,0.8825,1000,0.6650,0.5994,0.7306,200,0.6911,0.6782,0.7040
C LOW β=0.5,0.7102,0.6881,0.7323,1425,0.6169,0.5890,0.6447,1172,0.7240,0.6963,0.7517,1000,0.7459,0.7219,0.7698,1267,0.5243,0.4955,0.5530,817,0.8590,0.8374,0.8806,1000,0.6650,0.5994,0.7306,200,0.6922,0.6792,0.7051
E HIGH β=0.01,0.7130,0.6909,0.7351,1425,0.6177,0.5899,0.6456,1172,0.7260,0.6983,0.7537,1000,0.7427,0.7186,0.7668,1267,0.5285,0.4995,0.5576,817,0.8640,0.8427,0.8853,1000,0.6750,0.6099,0.7401,200,0.6953,0.6824,0.7082
E HIGH β=0.1,0.7116,0.6894,0.7338,1425,0.6212,0.5934,0.6489,1172,0.7240,0.6963,0.7517,1000,0.7490,0.7251,0.7729,1267,0.5274,0.4984,0.5565,817,0.8640,0.8427,0.8853,1000,0.6800,0.6152,0.7448,200,0.6967,0.6839,0.7096
E HIGH β=0.5,0.7109,0.6888,0.7330,1425,0.6160,0.5882,0.6439,1172,0.7250,0.6973,0.7527,1000,0.7443,0.7202,0.7683,1267,0.5286,0.4996,0.5576,817,0.8600,0.8385,0.8815,1000,0.6850,0.6205,0.7495,200,0.6957,0.6828,0.7085
E LOW β=0.01,0.7123,0.6903,0.7343,1425,0.6280,0.6003,0.6557,1172,0.7270,0.6994,0.7546,1000,0.7506,0.7268,0.7744,1267,0.5364,0.5074,0.5654,817,0.8640,0.8427,0.8853,1000,0.6850,0.6205,0.7495,200,0.7005,0.6877,0.7133
E LOW β=0.1,0.7193,0.6975,0.7411,1425,0.6237,0.5960,0.6515,1172,0.7220,0.6942,0.7498,1000,0.7537,0.7300,0.7775,1267,0.5368,0.5078,0.5658,817,0.8640,0.8427,0.8853,1000,0.6850,0.6205,0.7495,200,0.7006,0.6878,0.7135
E LOW β=0.5,0.7130,0.6909,0.7351,1425,0.6297,0.6020,0.6574,1172,0.7240,0.6963,0.7517,1000,0.7585,0.7349,0.7821,1267,0.5341,0.5051,0.5631,817,0.8630,0.8417,0.8843,1000,0.6700,0.6047,0.7353,200,0.6989,0.6860,0.7118
A HIGH β=0.01,0.7158,0.6937,0.7379,1425,0.6212,0.5934,0.6489,1172,0.7250,0.6973,0.7527,1000,0.7506,0.7268,0.7744,1267,0.5518,0.5225,0.5811,817,0.8590,0.8374,0.8806,1000,0.6900,0.6257,0.7543,200,0.7019,0.6891,0.7147
A HIGH β=0.1,0.7151,0.6929,0.7373,1425,0.6220,0.5942,0.6498,1172,0.7310,0.7035,0.7585,1000,0.7530,0.7292,0.7767,1267,0.5548,0.5254,0.5841,817,0.8650,0.8438,0.8862,1000,0.7000,0.6363,0.7637,200,0.7058,0.6931,0.7186
A HIGH β=0.5,0.7081,0.6860,0.7301,1425,0.6229,0.5951,0.6506,1172,0.7290,0.7014,0.7566,1000,0.7474,0.7235,0.7714,1267,0.5514,0.5222,0.5806,817,0.8620,0.8406,0.8834,1000,0.6750,0.6099,0.7401,200,0.6994,0.6865,0.7123
A LOW β=0.01,0.7144,0.6924,0.7363,1425,0.6186,0.5908,0.6464,1172,0.7200,0.6922,0.7478,1000,0.7482,0.7243,0.7721,1267,0.5099,0.4813,0.5386,817,0.8620,0.8406,0.8834,1000,0.6550,0.5890,0.7210,200,0.6897,0.6768,0.7027
A LOW β=0.1,0.7123,0.6901,0.7344,1425,0.6203,0.5925,0.6481,1172,0.7210,0.6932,0.7488,1000,0.7474,0.7235,0.7714,1267,0.5071,0.4784,0.5358,817,0.8620,0.8406,0.8834,1000,0.6700,0.6047,0.7353,200,0.6915,0.6785,0.7044
A LOW β=0.5,0.7116,0.6894,0.7337,1425,0.6195,0.5916,0.6473,1172,0.7210,0.6932,0.7488,1000,0.7530,0.7292,0.7767,1267,0.5082,0.4796,0.5368,817,0.8630,0.8417,0.8843,1000,0.6600,0.5942,0.7258,200,0.6909,0.6779,0.7038
N HIGH β=0.01,0.7144,0.6923,0.7365,1425,0.6195,0.5916,0.6473,1172,0.7230,0.6952,0.7508,1000,0.7514,0.7276,0.7752,1267,0.5225,0.4936,0.5515,817,0.8570,0.8353,0.8787,1000,0.6600,0.5942,0.7258,200,0.6925,0.6796,0.7055
N HIGH β=0.1,0.7130,0.6908,0.7352,1425,0.6212,0.5934,0.6489,1172,0.7200,0.6922,0.7478,1000,0.7514,0.7276,0.7752,1267,0.5213,0.4925,0.5501,817,0.8590,0.8374,0.8806,1000,0.6650,0.5994,0.7306,200,0.6930,0.6800,0.7059
N HIGH β=0.5,0.7151,0.6930,0.7372,1425,0.6212,0.5934,0.6489,1172,0.7210,0.6932,0.7488,1000,0.7569,0.7333,0.7805,1267,0.5238,0.4950,0.5527,817,0.8580,0.8364,0.8796,1000,0.6850,0.6205,0.7495,200,0.6973,0.6845,0.7101
N LOW β=0.01,0.7123,0.6902,0.7344,1425,0.6229,0.5951,0.6506,1172,0.7260,0.6983,0.7537,1000,0.7545,0.7308,0.7782,1267,0.5451,0.5159,0.5742,817,0.8620,0.8406,0.8834,1000,0.6600,0.5942,0.7258,200,0.6975,0.6846,0.7105
N LOW β=0.1,0.7116,0.6895,0.7337,1425,0.6220,0.5942,0.6498,1172,0.7240,0.6963,0.7517,1000,0.7482,0.7243,0.7721,1267,0.5427,0.5136,0.5718,817,0.8640,0.8427,0.8853,1000,0.6800,0.6152,0.7448,200,0.6989,0.6861,0.7118
