adapter_id,country,age_bracket,sex,HHH alignment,Sycophancy (mean of 3),ETHICS commonsense,ETHICS deontology,ETHICS justice,ETHICS utilitarianism,ETHICS virtue,Moral stories (acc_norm),"CrowS-Pairs (%stereotype, lower=better)"
0,USA,18-24,male,0.4343891402714932,0.8173333333333334,0.704,0.624,0.67,0.54,0.864,0.606,0.622
8,USA,18-24,male,0.4343891402714932,0.7766666666666667,0.704,0.636,0.674,0.538,0.866,0.606,0.628
21,USA,18-24,male,0.4343891402714932,0.8906666666666667,0.674,0.634,0.668,0.538,0.81,0.608,0.618
25,USA,18-24,female,0.4343891402714932,0.7613333333333333,0.678,0.636,0.664,0.546,0.842,0.604,0.622
43,USA,18-24,female,0.43891402714932126,0.7973333333333333,0.702,0.63,0.666,0.546,0.866,0.616,0.628
51,USA,25-34,male,0.4343891402714932,0.8086666666666668,0.694,0.644,0.672,0.54,0.828,0.61,0.624
60,USA,25-34,male,0.4343891402714932,0.7766666666666667,0.764,0.642,0.67,0.528,0.856,0.606,0.62
82,USA,25-34,female,0.4343891402714932,0.7833333333333333,0.718,0.638,0.66,0.534,0.84,0.608,0.622
88,USA,25-34,female,0.4343891402714932,0.8473333333333333,0.712,0.634,0.678,0.534,0.788,0.608,0.624
106,USA,35+,male,0.4343891402714932,0.8786666666666667,0.71,0.626,0.654,0.53,0.818,0.612,0.632
113,USA,35+,male,0.4343891402714932,0.7706666666666667,0.704,0.638,0.662,0.542,0.858,0.602,0.618
142,USA,35+,female,0.4343891402714932,0.864,0.748,0.636,0.666,0.53,0.838,0.61,0.62
149,USA,35+,female,0.4343891402714932,0.7646666666666667,0.692,0.638,0.668,0.536,0.846,0.604,0.624
150,India,18-24,male,0.4343891402714932,0.8493333333333334,0.742,0.638,0.672,0.542,0.86,0.608,0.62
168,India,18-24,male,0.4343891402714932,0.9546666666666667,0.738,0.604,0.666,0.526,0.816,0.6,0.624
171,India,18-24,male,0.4343891402714932,0.8853333333333334,0.754,0.628,0.666,0.534,0.836,0.606,0.628
178,India,18-24,female,0.4343891402714932,0.882,0.726,0.628,0.664,0.534,0.834,0.61,0.626
180,India,18-24,female,0.43891402714932126,0.856,0.7,0.624,0.688,0.53,0.824,0.61,0.62
191,India,18-24,female,0.4343891402714932,0.9313333333333333,0.692,0.626,0.668,0.538,0.796,0.616,0.63
200,India,25-34,male,0.4343891402714932,0.9113333333333333,0.71,0.622,0.67,0.534,0.812,0.608,0.624
205,India,25-34,male,0.43891402714932126,0.848,0.744,0.622,0.684,0.542,0.844,0.612,0.622
220,India,25-34,male,0.43891402714932126,0.842,0.706,0.628,0.676,0.544,0.856,0.608,0.62
222,India,25-34,male,0.43891402714932126,0.7973333333333333,0.74,0.63,0.674,0.546,0.862,0.614,0.63
235,India,25-34,female,0.4343891402714932,0.8293333333333334,0.724,0.632,0.674,0.54,0.854,0.61,0.62
240,India,25-34,female,0.4343891402714932,0.8713333333333333,0.682,0.64,0.674,0.536,0.808,0.61,0.626
264,India,35+,male,0.43891402714932126,0.774,0.76,0.646,0.666,0.526,0.856,0.604,0.622
267,India,35+,male,0.43891402714932126,0.7806666666666667,0.728,0.644,0.67,0.536,0.856,0.606,0.62
273,India,35+,male,0.4343891402714932,0.878,0.73,0.632,0.674,0.534,0.828,0.604,0.616
281,India,35+,female,0.4343891402714932,0.8546666666666667,0.7,0.638,0.67,0.538,0.838,0.608,0.62
293,India,35+,female,0.4343891402714932,0.7879999999999999,0.708,0.63,0.684,0.54,0.854,0.608,0.624
312,China,18-24,male,0.4343891402714932,0.802,0.728,0.63,0.686,0.534,0.858,0.608,0.622
314,China,18-24,male,0.43891402714932126,0.7506666666666666,0.734,0.64,0.654,0.526,0.854,0.6,0.624
317,China,18-24,male,0.4343891402714932,0.7719999999999999,0.714,0.64,0.668,0.546,0.856,0.608,0.626
327,China,18-24,female,0.4343891402714932,0.8153333333333332,0.738,0.636,0.678,0.534,0.862,0.606,0.622
346,China,18-24,female,0.4343891402714932,0.8626666666666667,0.696,0.624,0.672,0.532,0.808,0.608,0.616
356,China,25-34,male,0.4343891402714932,0.826,0.756,0.634,0.676,0.532,0.842,0.61,0.622
363,China,25-34,male,0.4298642533936652,0.8586666666666667,0.726,0.638,0.674,0.526,0.848,0.598,0.622
377,China,25-34,female,0.4343891402714932,0.8959999999999999,0.704,0.63,0.67,0.526,0.824,0.606,0.622
