config,task,score_base,score_dpo,delta,z,p_raw,p_bh,sig_fdr05,is_macro
A HIGH β=0.01,ARC-C,0.5171,0.5119,-0.0051,-0.248,0.8042,1,,0
A HIGH β=0.01,BoolQ,0.7950,0.8010,+0.0060,0.334,0.7384,1,,0
A HIGH β=0.01,GSM8K,0.2200,0.2350,+0.0150,0.357,0.7211,1,,0
A HIGH β=0.01,HellaSwag,0.6850,0.6890,+0.0040,0.193,0.8471,1,,0
A HIGH β=0.01,MMLU,0.5214,0.5151,-0.0063,-0.351,0.7253,1,,0
A HIGH β=0.01,Macro,0.5547,0.5584,+0.0036,0.401,0.6886,1,,1
A HIGH β=0.01,TruthfulQA,0.4587,0.4659,+0.0072,0.341,0.7331,1,,0
A HIGH β=0.01,WinoGrande,0.6859,0.6906,+0.0047,0.257,0.797,1,,0
A HIGH β=0.1,ARC-C,0.5171,0.5137,-0.0034,-0.165,0.8687,1,,0
A HIGH β=0.1,BoolQ,0.7950,0.8020,+0.0070,0.390,0.6965,1,,0
A HIGH β=0.1,GSM8K,0.2200,0.2500,+0.0300,0.706,0.4801,1,,0
A HIGH β=0.1,HellaSwag,0.6850,0.6850,+0.0000,0.000,1,1,,0
A HIGH β=0.1,MMLU,0.5214,0.5172,-0.0042,-0.235,0.8145,1,,0
A HIGH β=0.1,Macro,0.5547,0.5595,+0.0048,0.524,0.6002,1,,1
A HIGH β=0.1,TruthfulQA,0.4587,0.4653,+0.0065,0.309,0.7574,1,,0
A HIGH β=0.1,WinoGrande,0.6859,0.6835,-0.0024,-0.128,0.898,1,,0
A HIGH β=0.5,ARC-C,0.5171,0.5154,-0.0017,-0.083,0.9341,1,,0
A HIGH β=0.5,BoolQ,0.7950,0.8020,+0.0070,0.390,0.6965,1,,0
A HIGH β=0.5,GSM8K,0.2200,0.2550,+0.0350,0.821,0.4116,1,,0
A HIGH β=0.5,HellaSwag,0.6850,0.6880,+0.0030,0.145,0.8851,1,,0
A HIGH β=0.5,MMLU,0.5214,0.5158,-0.0056,-0.313,0.7547,1,,0
A HIGH β=0.5,Macro,0.5547,0.5609,+0.0062,0.675,0.4997,1,,1
A HIGH β=0.5,TruthfulQA,0.4587,0.4651,+0.0064,0.301,0.7636,1,,0
A HIGH β=0.5,WinoGrande,0.6859,0.6851,-0.0008,-0.043,0.9659,1,,0
A LOW β=0.01,ARC-C,0.5171,0.5145,-0.0026,-0.124,0.9014,1,,0
A LOW β=0.01,BoolQ,0.7950,0.8000,+0.0050,0.278,0.781,1,,0
A LOW β=0.01,GSM8K,0.2200,0.2450,+0.0250,0.591,0.5548,1,,0
A LOW β=0.01,HellaSwag,0.6850,0.6840,-0.0010,-0.048,0.9616,1,,0
A LOW β=0.01,MMLU,0.5214,0.5179,-0.0035,-0.195,0.8454,1,,0
A LOW β=0.01,Macro,0.5547,0.5571,+0.0024,0.263,0.7925,1,,1
A LOW β=0.01,TruthfulQA,0.4587,0.4558,-0.0030,-0.140,0.8883,1,,0
A LOW β=0.01,WinoGrande,0.6859,0.6827,-0.0032,-0.171,0.8643,1,,0
A LOW β=0.1,ARC-C,0.5171,0.5111,-0.0060,-0.289,0.7725,1,,0
A LOW β=0.1,BoolQ,0.7950,0.7960,+0.0010,0.055,0.9558,1,,0
A LOW β=0.1,GSM8K,0.2200,0.2400,+0.0200,0.474,0.6354,1,,0
A LOW β=0.1,HellaSwag,0.6850,0.6840,-0.0010,-0.048,0.9616,1,,0
A LOW β=0.1,MMLU,0.5214,0.5158,-0.0056,-0.313,0.7545,1,,0
A LOW β=0.1,Macro,0.5547,0.5550,+0.0002,0.027,0.9787,1,,1
A LOW β=0.1,TruthfulQA,0.4587,0.4544,-0.0043,-0.206,0.8369,1,,0
A LOW β=0.1,WinoGrande,0.6859,0.6835,-0.0024,-0.128,0.898,1,,0
A LOW β=0.5,ARC-C,0.5171,0.5128,-0.0043,-0.207,0.8364,1,,0
A LOW β=0.5,BoolQ,0.7950,0.7950,+0.0000,0.000,1,1,,0
A LOW β=0.5,GSM8K,0.2200,0.2350,+0.0150,0.357,0.7211,1,,0
A LOW β=0.5,HellaSwag,0.6850,0.6860,+0.0010,0.048,0.9616,1,,0
A LOW β=0.5,MMLU,0.5214,0.5179,-0.0035,-0.195,0.8452,1,,0
A LOW β=0.5,Macro,0.5547,0.5547,-0.0000,-0.005,0.9959,1,,1
A LOW β=0.5,TruthfulQA,0.4587,0.4541,-0.0046,-0.218,0.8273,1,,0
A LOW β=0.5,WinoGrande,0.6859,0.6819,-0.0039,-0.214,0.8309,1,,0
C HIGH β=0.01,ARC-C,0.5171,0.5128,-0.0043,-0.207,0.8364,1,,0
C HIGH β=0.01,BoolQ,0.7950,0.8000,+0.0050,0.278,0.781,1,,0
C HIGH β=0.01,GSM8K,0.2200,0.2450,+0.0250,0.591,0.5548,1,,0
C HIGH β=0.01,HellaSwag,0.6850,0.6840,-0.0010,-0.048,0.9616,1,,0
C HIGH β=0.01,MMLU,0.5214,0.5179,-0.0035,-0.195,0.8453,1,,0
C HIGH β=0.01,Macro,0.5547,0.5582,+0.0035,0.379,0.7048,1,,1
C HIGH β=0.01,TruthfulQA,0.4587,0.4625,+0.0038,0.179,0.8581,1,,0
C HIGH β=0.01,WinoGrande,0.6859,0.6851,-0.0008,-0.043,0.9659,1,,0
C HIGH β=0.1,ARC-C,0.5171,0.5154,-0.0017,-0.083,0.9341,1,,0
C HIGH β=0.1,BoolQ,0.7950,0.8010,+0.0060,0.334,0.7384,1,,0
C HIGH β=0.1,GSM8K,0.2200,0.2300,+0.0100,0.239,0.8112,1,,0
C HIGH β=0.1,HellaSwag,0.6850,0.6870,+0.0020,0.096,0.9233,1,,0
C HIGH β=0.1,MMLU,0.5214,0.5151,-0.0063,-0.351,0.7253,1,,0
