variant,MMLU,MMLU_lo,MMLU_hi,MMLU_N,ARC-C,ARC-C_lo,ARC-C_hi,ARC-C_N,HellaSwag,HellaSwag_lo,HellaSwag_hi,HellaSwag_N,WinoGrande,WinoGrande_lo,WinoGrande_hi,WinoGrande_N,TruthfulQA,TruthfulQA_lo,TruthfulQA_hi,TruthfulQA_N,BoolQ,BoolQ_lo,BoolQ_hi,BoolQ_N,GSM8K,GSM8K_lo,GSM8K_hi,GSM8K_N,Macro,Macro_lo,Macro_hi
SFT baseline,0.5214,0.4965,0.5463,1425,0.5171,0.4884,0.5457,1172,0.6850,0.6562,0.7138,1000,0.6859,0.6603,0.7114,1267,0.4587,0.4295,0.4880,817,0.7950,0.7700,0.8200,1000,0.2200,0.1624,0.2776,200,0.5547,0.5422,0.5673
O HIGH β=0.01,0.5165,0.4915,0.5415,1425,0.5145,0.4859,0.5431,1172,0.6900,0.6613,0.7187,1000,0.6843,0.6587,0.7099,1267,0.4615,0.4321,0.4909,817,0.8040,0.7794,0.8286,1000,0.2500,0.1898,0.3102,200,0.5601,0.5473,0.5729
O HIGH β=0.1,0.5172,0.4922,0.5421,1425,0.5162,0.4876,0.5448,1172,0.6840,0.6552,0.7128,1000,0.6867,0.6611,0.7122,1267,0.4608,0.4314,0.4902,817,0.8030,0.7783,0.8277,1000,0.2500,0.1898,0.3102,200,0.5597,0.5469,0.5725
O HIGH β=0.5,0.5151,0.4901,0.5400,1425,0.5119,0.4833,0.5406,1172,0.6910,0.6623,0.7197,1000,0.6867,0.6611,0.7122,1267,0.4604,0.4311,0.4898,817,0.8030,0.7783,0.8277,1000,0.2450,0.1852,0.3048,200,0.5590,0.5463,0.5718
O LOW β=0.01,0.5193,0.4944,0.5442,1425,0.5145,0.4859,0.5431,1172,0.6880,0.6593,0.7167,1000,0.6811,0.6555,0.7068,1267,0.4573,0.4281,0.4865,817,0.7940,0.7689,0.8191,1000,0.2300,0.1715,0.2885,200,0.5549,0.5423,0.5675
O LOW β=0.1,0.5228,0.4978,0.5478,1425,0.5154,0.4867,0.5440,1172,0.6880,0.6593,0.7167,1000,0.6906,0.6651,0.7161,1267,0.4582,0.4290,0.4874,817,0.7940,0.7689,0.8191,1000,0.2300,0.1715,0.2885,200,0.5570,0.5444,0.5696
O LOW β=0.5,0.5144,0.4895,0.5393,1425,0.5154,0.4867,0.5440,1172,0.6850,0.6562,0.7138,1000,0.6803,0.6547,0.7060,1267,0.4580,0.4288,0.4872,817,0.7920,0.7668,0.8172,1000,0.2400,0.1807,0.2993,200,0.5550,0.5423,0.5677
C HIGH β=0.01,0.5179,0.4929,0.5429,1425,0.5128,0.4842,0.5414,1172,0.6840,0.6552,0.7128,1000,0.6851,0.6595,0.7107,1267,0.4625,0.4332,0.4919,817,0.8000,0.7752,0.8248,1000,0.2450,0.1852,0.3048,200,0.5582,0.5454,0.5709
C HIGH β=0.1,0.5151,0.4901,0.5400,1425,0.5154,0.4867,0.5440,1172,0.6870,0.6582,0.7158,1000,0.6906,0.6651,0.7161,1267,0.4622,0.4328,0.4915,817,0.8010,0.7762,0.8258,1000,0.2300,0.1715,0.2885,200,0.5573,0.5447,0.5699
C HIGH β=0.5,0.5144,0.4895,0.5393,1425,0.5145,0.4859,0.5431,1172,0.6860,0.6572,0.7148,1000,0.6859,0.6603,0.7114,1267,0.4635,0.4342,0.4929,817,0.8010,0.7762,0.8258,1000,0.2350,0.1761,0.2939,200,0.5572,0.5445,0.5699
C LOW β=0.01,0.5165,0.4916,0.5414,1425,0.5102,0.4816,0.5389,1172,0.6840,0.6552,0.7128,1000,0.6819,0.6563,0.7076,1267,0.4572,0.4279,0.4864,817,0.7920,0.7668,0.8172,1000,0.2400,0.1807,0.2993,200,0.5545,0.5418,0.5673
