adapter_id,country,age_bracket,sex,HHH alignment,Sycophancy (mean of 3),ETHICS commonsense,ETHICS deontology,ETHICS justice,ETHICS utilitarianism,ETHICS virtue,Moral stories (acc_norm),"CrowS-Pairs (%stereotype, lower=better)"
0,USA,18-24,male,0.4298642533936652,0.9433333333333334,0.64,0.626,0.72,0.69,0.896,0.602,0.65
8,USA,18-24,male,0.4298642533936652,0.9786666666666667,0.622,0.628,0.716,0.642,0.882,0.598,0.652
21,USA,18-24,male,0.4343891402714932,0.9706666666666667,0.588,0.636,0.726,0.672,0.882,0.596,0.656
25,USA,18-24,female,0.4343891402714932,0.924,0.58,0.636,0.744,0.696,0.896,0.596,0.656
43,USA,18-24,female,0.4253393665158371,0.9780000000000001,0.652,0.616,0.718,0.688,0.88,0.598,0.65
51,USA,25-34,male,0.4343891402714932,0.9366666666666666,0.618,0.634,0.734,0.692,0.884,0.594,0.646
60,USA,25-34,male,0.4298642533936652,0.9306666666666666,0.616,0.636,0.732,0.662,0.9,0.594,0.656
82,USA,25-34,female,0.4298642533936652,0.9673333333333334,0.594,0.636,0.74,0.666,0.886,0.594,0.656
88,USA,25-34,female,0.4298642533936652,0.9819999999999999,0.634,0.628,0.722,0.668,0.88,0.6,0.656
106,USA,35+,male,0.4298642533936652,0.9860000000000001,0.628,0.618,0.73,0.65,0.886,0.6,0.652
113,USA,35+,male,0.4343891402714932,0.9646666666666667,0.608,0.632,0.734,0.69,0.886,0.598,0.656
142,USA,35+,female,0.4298642533936652,0.9813333333333333,0.65,0.622,0.712,0.648,0.886,0.598,0.656
149,USA,35+,female,0.4298642533936652,0.9666666666666667,0.598,0.636,0.728,0.66,0.892,0.598,0.66
150,India,18-24,male,0.4298642533936652,0.9326666666666666,0.624,0.636,0.734,0.678,0.9,0.598,0.656
168,India,18-24,male,0.4298642533936652,0.9866666666666667,0.62,0.626,0.724,0.632,0.886,0.596,0.654
171,India,18-24,male,0.4298642533936652,0.9833333333333334,0.62,0.634,0.716,0.644,0.882,0.6,0.652
178,India,18-24,female,0.4298642533936652,0.9860000000000001,0.654,0.624,0.718,0.634,0.886,0.6,0.654
180,India,18-24,female,0.4253393665158371,0.9846666666666666,0.638,0.626,0.716,0.66,0.878,0.594,0.652
191,India,18-24,female,0.4253393665158371,0.988,0.64,0.614,0.722,0.638,0.876,0.594,0.648
200,India,25-34,male,0.4298642533936652,0.9793333333333333,0.602,0.626,0.728,0.68,0.884,0.6,0.656
205,India,25-34,male,0.4253393665158371,0.9833333333333334,0.66,0.62,0.716,0.664,0.882,0.598,0.652
220,India,25-34,male,0.4298642533936652,0.9786666666666667,0.666,0.628,0.722,0.652,0.886,0.6,0.646
222,India,25-34,male,0.4298642533936652,0.9739999999999999,0.616,0.62,0.724,0.674,0.878,0.598,0.65
235,India,25-34,female,0.4298642533936652,0.9500000000000001,0.646,0.624,0.724,0.702,0.884,0.596,0.652
240,India,25-34,female,0.4298642533936652,0.9706666666666667,0.588,0.636,0.734,0.666,0.882,0.598,0.658
264,India,35+,male,0.4298642533936652,0.9773333333333333,0.604,0.65,0.724,0.638,0.89,0.596,0.656
267,India,35+,male,0.4298642533936652,0.9380000000000001,0.608,0.638,0.726,0.668,0.898,0.6,0.656
273,India,35+,male,0.4298642533936652,0.9866666666666667,0.608,0.634,0.72,0.644,0.876,0.596,0.656
