config,task,score_base,score_dpo,delta,z,p_raw,p_bh,sig_fdr05,is_macro
A HIGH β=0.01,ARC-C,0.4488,0.4505,+0.0017,0.083,0.9338,1,,0
A HIGH β=0.01,BoolQ,0.7940,0.7990,+0.0050,0.278,0.7813,1,,0
A HIGH β=0.01,GSM8K,0.1550,0.1550,+0.0000,0.000,1,1,,0
A HIGH β=0.01,HellaSwag,0.6660,0.6630,-0.0030,-0.142,0.8871,1,,0
A HIGH β=0.01,MMLU,0.5018,0.5067,+0.0049,0.270,0.7871,1,,0
A HIGH β=0.01,Macro,0.5372,0.5392,+0.0020,0.232,0.8164,1,,1
A HIGH β=0.01,TruthfulQA,0.5058,0.5097,+0.0039,0.175,0.8613,1,,0
A HIGH β=0.01,WinoGrande,0.6890,0.6906,+0.0016,0.086,0.9316,1,,0
A HIGH β=0.1,ARC-C,0.4488,0.4514,+0.0026,0.124,0.9009,1,,0
A HIGH β=0.1,BoolQ,0.7940,0.8020,+0.0080,0.445,0.6561,1,,0
A HIGH β=0.1,GSM8K,0.1550,0.1750,+0.0200,0.538,0.5908,1,,0
A HIGH β=0.1,HellaSwag,0.6660,0.6610,-0.0050,-0.236,0.813,1,,0
A HIGH β=0.1,MMLU,0.5018,0.5067,+0.0049,0.270,0.7872,1,,0
A HIGH β=0.1,Macro,0.5372,0.5421,+0.0049,0.562,0.574,1,,1
A HIGH β=0.1,TruthfulQA,0.5058,0.5097,+0.0039,0.176,0.8607,1,,0
A HIGH β=0.1,WinoGrande,0.6890,0.6890,+0.0000,0.000,1,1,,0
A HIGH β=0.5,ARC-C,0.4488,0.4497,+0.0009,0.042,0.9669,1,,0
A HIGH β=0.5,BoolQ,0.7940,0.7990,+0.0050,0.278,0.7813,1,,0
A HIGH β=0.5,GSM8K,0.1550,0.1450,-0.0100,-0.279,0.78,1,,0
A HIGH β=0.5,HellaSwag,0.6660,0.6630,-0.0030,-0.142,0.8871,1,,0
A HIGH β=0.5,MMLU,0.5018,0.5053,+0.0035,0.193,0.847,1,,0
A HIGH β=0.5,Macro,0.5372,0.5375,+0.0003,0.035,0.9722,1,,1
A HIGH β=0.5,TruthfulQA,0.5058,0.5084,+0.0026,0.117,0.9071,1,,0
A HIGH β=0.5,WinoGrande,0.6890,0.6922,+0.0032,0.172,0.8636,1,,0
A LOW β=0.01,ARC-C,0.4488,0.4454,-0.0034,-0.166,0.8681,1,,0
A LOW β=0.01,BoolQ,0.7940,0.7860,-0.0080,-0.439,0.6607,1,,0
A LOW β=0.01,GSM8K,0.1550,0.1500,-0.0050,-0.139,0.8897,1,,0
A LOW β=0.01,HellaSwag,0.6660,0.6630,-0.0030,-0.142,0.8871,1,,0
A LOW β=0.01,MMLU,0.5018,0.5060,+0.0042,0.231,0.8173,1,,0
A LOW β=0.01,Macro,0.5372,0.5343,-0.0029,-0.331,0.7403,1,,1
A LOW β=0.01,TruthfulQA,0.5058,0.5033,-0.0025,-0.112,0.9106,1,,0
A LOW β=0.01,WinoGrande,0.6890,0.6867,-0.0024,-0.129,0.8977,1,,0
A LOW β=0.1,ARC-C,0.4488,0.4462,-0.0026,-0.125,0.9009,1,,0
A LOW β=0.1,BoolQ,0.7940,0.7880,-0.0060,-0.330,0.7415,1,,0
A LOW β=0.1,GSM8K,0.1550,0.1600,+0.0050,0.137,0.8911,1,,0
A LOW β=0.1,HellaSwag,0.6660,0.6620,-0.0040,-0.189,0.8499,1,,0
A LOW β=0.1,MMLU,0.5018,0.5074,+0.0056,0.308,0.7582,1,,0
A LOW β=0.1,Macro,0.5372,0.5360,-0.0012,-0.140,0.8889,1,,1
A LOW β=0.1,TruthfulQA,0.5058,0.5032,-0.0026,-0.118,0.9065,1,,0
A LOW β=0.1,WinoGrande,0.6890,0.6851,-0.0039,-0.214,0.8304,1,,0
A LOW β=0.5,ARC-C,0.4488,0.4437,-0.0051,-0.249,0.8032,1,,0
A LOW β=0.5,BoolQ,0.7940,0.7920,-0.0020,-0.110,0.9122,1,,0
A LOW β=0.5,GSM8K,0.1550,0.1600,+0.0050,0.137,0.8911,1,,0
A LOW β=0.5,HellaSwag,0.6660,0.6650,-0.0010,-0.047,0.9622,1,,0
A LOW β=0.5,MMLU,0.5018,0.5039,+0.0021,0.116,0.908,1,,0
A LOW β=0.5,Macro,0.5372,0.5363,-0.0009,-0.104,0.9168,1,,1
A LOW β=0.5,TruthfulQA,0.5058,0.5029,-0.0030,-0.134,0.8931,1,,0
A LOW β=0.5,WinoGrande,0.6890,0.6867,-0.0024,-0.129,0.8977,1,,0
C HIGH β=0.01,ARC-C,0.4488,0.4522,+0.0034,0.166,0.8682,1,,0
C HIGH β=0.01,BoolQ,0.7940,0.7990,+0.0050,0.278,0.7813,1,,0
C HIGH β=0.01,GSM8K,0.1550,0.1450,-0.0100,-0.279,0.78,1,,0
C HIGH β=0.01,HellaSwag,0.6660,0.6600,-0.0060,-0.284,0.7766,1,,0
C HIGH β=0.01,MMLU,0.5018,0.5053,+0.0035,0.192,0.8474,1,,0
C HIGH β=0.01,Macro,0.5372,0.5369,-0.0003,-0.034,0.9728,1,,1
C HIGH β=0.01,TruthfulQA,0.5058,0.5078,+0.0020,0.091,0.9272,1,,0
C HIGH β=0.01,WinoGrande,0.6890,0.6890,+0.0000,0.000,1,1,,0
C HIGH β=0.1,ARC-C,0.4488,0.4539,+0.0051,0.249,0.8034,1,,0
C HIGH β=0.1,BoolQ,0.7940,0.7980,+0.0040,0.222,0.8244,1,,0
C HIGH β=0.1,GSM8K,0.1550,0.1450,-0.0100,-0.279,0.78,1,,0
C HIGH β=0.1,HellaSwag,0.6660,0.6610,-0.0050,-0.236,0.813,1,,0
C HIGH β=0.1,MMLU,0.5018,0.5081,+0.0063,0.346,0.729,1,,0
C HIGH β=0.1,Macro,0.5372,0.5376,+0.0004,0.047,0.9628,1,,1
C HIGH β=0.1,TruthfulQA,0.5058,0.5082,+0.0024,0.107,0.9146,1,,0
C HIGH β=0.1,WinoGrande,0.6890,0.6890,+0.0000,0.000,1,1,,0
C HIGH β=0.5,ARC-C,0.4488,0.4522,+0.0034,0.166,0.8682,1,,0
C HIGH β=0.5,BoolQ,0.7940,0.7980,+0.0040,0.222,0.8244,1,,0
C HIGH β=0.5,GSM8K,0.1550,0.1600,+0.0050,0.137,0.8911,1,,0
C HIGH β=0.5,HellaSwag,0.6660,0.6600,-0.0060,-0.284,0.7766,1,,0
C HIGH β=0.5,MMLU,0.5018,0.5053,+0.0035,0.193,0.8473,1,,0
C HIGH β=0.5,Macro,0.5372,0.5386,+0.0014,0.158,0.8744,1,,1
C HIGH β=0.5,TruthfulQA,0.5058,0.5079,+0.0020,0.093,0.9263,1,,0
C HIGH β=0.5,WinoGrande,0.6890,0.6867,-0.0024,-0.129,0.8977,1,,0
C LOW β=0.01,ARC-C,0.4488,0.4454,-0.0034,-0.166,0.8681,1,,0
C LOW β=0.01,BoolQ,0.7940,0.7940,+0.0000,0.000,1,1,,0
C LOW β=0.01,GSM8K,0.1550,0.1600,+0.0050,0.137,0.8911,1,,0
C LOW β=0.01,HellaSwag,0.6660,0.6630,-0.0030,-0.142,0.8871,1,,0
C LOW β=0.01,MMLU,0.5018,0.5025,+0.0007,0.039,0.9693,1,,0
C LOW β=0.01,Macro,0.5372,0.5367,-0.0005,-0.061,0.9516,1,,1
C LOW β=0.01,TruthfulQA,0.5058,0.5044,-0.0014,-0.063,0.9496,1,,0
C LOW β=0.01,WinoGrande,0.6890,0.6875,-0.0016,-0.086,0.9317,1,,0
C LOW β=0.1,ARC-C,0.4488,0.4445,-0.0043,-0.208,0.8355,1,,0
C LOW β=0.1,BoolQ,0.7940,0.7930,-0.0010,-0.055,0.956,1,,0
C LOW β=0.1,GSM8K,0.1550,0.1500,-0.0050,-0.139,0.8897,1,,0
C LOW β=0.1,HellaSwag,0.6660,0.6620,-0.0040,-0.189,0.8499,1,,0
C LOW β=0.1,MMLU,0.5018,0.5060,+0.0042,0.231,0.8173,1,,0
C LOW β=0.1,Macro,0.5372,0.5349,-0.0023,-0.266,0.7903,1,,1
C LOW β=0.1,TruthfulQA,0.5058,0.5045,-0.0013,-0.058,0.9536,1,,0
C LOW β=0.1,WinoGrande,0.6890,0.6843,-0.0047,-0.257,0.7973,1,,0
C LOW β=0.5,ARC-C,0.4488,0.4437,-0.0051,-0.249,0.8032,1,,0
C LOW β=0.5,BoolQ,0.7940,0.7930,-0.0010,-0.055,0.956,1,,0
C LOW β=0.5,GSM8K,0.1550,0.1550,+0.0000,0.000,1,1,,0
C LOW β=0.5,HellaSwag,0.6660,0.6620,-0.0040,-0.189,0.8499,1,,0
C LOW β=0.5,MMLU,0.5018,0.5004,-0.0014,-0.077,0.9386,1,,0
C LOW β=0.5,Macro,0.5372,0.5346,-0.0026,-0.295,0.7677,1,,1
C LOW β=0.5,TruthfulQA,0.5058,0.5042,-0.0016,-0.074,0.9407,1,,0
C LOW β=0.5,WinoGrande,0.6890,0.6843,-0.0047,-0.257,0.7973,1,,0
E HIGH β=0.01,ARC-C,0.4488,0.4505,+0.0017,0.083,0.9338,1,,0
E HIGH β=0.01,BoolQ,0.7940,0.7920,-0.0020,-0.110,0.9122,1,,0
E HIGH β=0.01,GSM8K,0.1550,0.1650,+0.0100,0.272,0.7855,1,,0
E HIGH β=0.01,HellaSwag,0.6660,0.6610,-0.0050,-0.236,0.813,1,,0
E HIGH β=0.01,MMLU,0.5018,0.5039,+0.0021,0.115,0.9081,1,,0
E HIGH β=0.01,Macro,0.5372,0.5376,+0.0004,0.049,0.9612,1,,1
E HIGH β=0.01,TruthfulQA,0.5058,0.5036,-0.0023,-0.102,0.9184,1,,0
E HIGH β=0.01,WinoGrande,0.6890,0.6875,-0.0016,-0.086,0.9317,1,,0
E HIGH β=0.1,ARC-C,0.4488,0.4514,+0.0026,0.124,0.9009,1,,0
E HIGH β=0.1,BoolQ,0.7940,0.7910,-0.0030,-0.165,0.8687,1,,0
E HIGH β=0.1,GSM8K,0.1550,0.1450,-0.0100,-0.279,0.78,1,,0
E HIGH β=0.1,HellaSwag,0.6660,0.6610,-0.0050,-0.236,0.813,1,,0
E HIGH β=0.1,MMLU,0.5018,0.5053,+0.0035,0.192,0.8475,1,,0
E HIGH β=0.1,Macro,0.5372,0.5353,-0.0019,-0.218,0.8273,1,,1
E HIGH β=0.1,TruthfulQA,0.5058,0.5038,-0.0020,-0.091,0.9272,1,,0
E HIGH β=0.1,WinoGrande,0.6890,0.6898,+0.0008,0.043,0.9658,1,,0
E HIGH β=0.5,ARC-C,0.4488,0.4514,+0.0026,0.124,0.9009,1,,0
E HIGH β=0.5,BoolQ,0.7940,0.7920,-0.0020,-0.110,0.9122,1,,0
E HIGH β=0.5,GSM8K,0.1550,0.1600,+0.0050,0.137,0.8911,1,,0
E HIGH β=0.5,HellaSwag,0.6660,0.6620,-0.0040,-0.189,0.8499,1,,0
E HIGH β=0.5,MMLU,0.5018,0.5039,+0.0021,0.116,0.908,1,,0
E HIGH β=0.5,Macro,0.5372,0.5373,+0.0001,0.013,0.9894,1,,1
E HIGH β=0.5,TruthfulQA,0.5058,0.5038,-0.0021,-0.093,0.9255,1,,0
E HIGH β=0.5,WinoGrande,0.6890,0.6882,-0.0008,-0.043,0.9658,1,,0
E LOW β=0.01,ARC-C,0.4488,0.4471,-0.0017,-0.083,0.9338,1,,0
E LOW β=0.01,BoolQ,0.7940,0.7960,+0.0020,0.111,0.9118,1,,0
E LOW β=0.01,GSM8K,0.1550,0.1550,+0.0000,0.000,1,1,,0
E LOW β=0.01,HellaSwag,0.6660,0.6640,-0.0020,-0.095,0.9246,1,,0
E LOW β=0.01,MMLU,0.5018,0.5039,+0.0021,0.116,0.9079,1,,0
E LOW β=0.01,Macro,0.5372,0.5371,-0.0001,-0.010,0.9924,1,,1
E LOW β=0.01,TruthfulQA,0.5058,0.5080,+0.0022,0.099,0.9213,1,,0
E LOW β=0.01,WinoGrande,0.6890,0.6859,-0.0032,-0.171,0.8639,1,,0
E LOW β=0.1,ARC-C,0.4488,0.4454,-0.0034,-0.166,0.8681,1,,0
E LOW β=0.1,BoolQ,0.7940,0.7970,+0.0030,0.166,0.868,1,,0
E LOW β=0.1,GSM8K,0.1550,0.1500,-0.0050,-0.139,0.8897,1,,0
E LOW β=0.1,HellaSwag,0.6660,0.6650,-0.0010,-0.047,0.9622,1,,0
E LOW β=0.1,MMLU,0.5018,0.5025,+0.0007,0.038,0.9693,1,,0
E LOW β=0.1,Macro,0.5372,0.5362,-0.0010,-0.116,0.9075,1,,1
E LOW β=0.1,TruthfulQA,0.5058,0.5077,+0.0018,0.084,0.9333,1,,0
E LOW β=0.1,WinoGrande,0.6890,0.6859,-0.0032,-0.171,0.8639,1,,0
E LOW β=0.5,ARC-C,0.4488,0.4445,-0.0043,-0.208,0.8355,1,,0
E LOW β=0.5,BoolQ,0.7940,0.7970,+0.0030,0.166,0.868,1,,0
E LOW β=0.5,GSM8K,0.1550,0.1450,-0.0100,-0.279,0.78,1,,0
E LOW β=0.5,HellaSwag,0.6660,0.6620,-0.0040,-0.189,0.8499,1,,0
E LOW β=0.5,MMLU,0.5018,0.5032,+0.0014,0.077,0.9386,1,,0
E LOW β=0.5,Macro,0.5372,0.5355,-0.0017,-0.201,0.8405,1,,1
E LOW β=0.5,TruthfulQA,0.5058,0.5076,+0.0017,0.079,0.9374,1,,0
E LOW β=0.5,WinoGrande,0.6890,0.6890,+0.0000,0.000,1,1,,0
N HIGH β=0.01,ARC-C,0.4488,0.4488,+0.0000,0.000,1,1,,0
N HIGH β=0.01,BoolQ,0.7940,0.7990,+0.0050,0.278,0.7813,1,,0
N HIGH β=0.01,GSM8K,0.1550,0.1650,+0.0100,0.272,0.7855,1,,0
N HIGH β=0.01,HellaSwag,0.6660,0.6640,-0.0020,-0.095,0.9246,1,,0
N HIGH β=0.01,MMLU,0.5018,0.5018,+0.0000,0.000,1,1,,0
N HIGH β=0.01,Macro,0.5372,0.5383,+0.0011,0.131,0.896,1,,1
N HIGH β=0.01,TruthfulQA,0.5058,0.5047,-0.0011,-0.050,0.9604,1,,0
N HIGH β=0.01,WinoGrande,0.6890,0.6851,-0.0039,-0.214,0.8304,1,,0
N HIGH β=0.1,ARC-C,0.4488,0.4488,+0.0000,0.000,1,1,,0
N HIGH β=0.1,BoolQ,0.7940,0.8010,+0.0070,0.389,0.697,1,,0
N HIGH β=0.1,GSM8K,0.1550,0.1650,+0.0100,0.272,0.7855,1,,0
N HIGH β=0.1,HellaSwag,0.6660,0.6640,-0.0020,-0.095,0.9246,1,,0
N HIGH β=0.1,MMLU,0.5018,0.5032,+0.0014,0.077,0.9386,1,,0
N HIGH β=0.1,Macro,0.5372,0.5391,+0.0019,0.216,0.829,1,,1
N HIGH β=0.1,TruthfulQA,0.5058,0.5041,-0.0017,-0.076,0.9392,1,,0
N HIGH β=0.1,WinoGrande,0.6890,0.6875,-0.0016,-0.086,0.9317,1,,0
N HIGH β=0.5,ARC-C,0.4488,0.4488,+0.0000,0.000,1,1,,0
N HIGH β=0.5,BoolQ,0.7940,0.8000,+0.0060,0.333,0.7388,1,,0
N HIGH β=0.5,GSM8K,0.1550,0.1600,+0.0050,0.137,0.8911,1,,0
N HIGH β=0.5,HellaSwag,0.6660,0.6640,-0.0020,-0.095,0.9246,1,,0
N HIGH β=0.5,MMLU,0.5018,0.5046,+0.0028,0.154,0.8774,1,,0
N HIGH β=0.5,Macro,0.5372,0.5384,+0.0012,0.136,0.8917,1,,1
N HIGH β=0.5,TruthfulQA,0.5058,0.5046,-0.0012,-0.053,0.9577,1,,0
N HIGH β=0.5,WinoGrande,0.6890,0.6867,-0.0024,-0.129,0.8977,1,,0
N LOW β=0.01,ARC-C,0.4488,0.4488,+0.0000,0.000,1,1,,0
N LOW β=0.01,BoolQ,0.7940,0.7940,+0.0000,0.000,1,1,,0
N LOW β=0.01,GSM8K,0.1550,0.1500,-0.0050,-0.139,0.8897,1,,0
N LOW β=0.01,HellaSwag,0.6660,0.6630,-0.0030,-0.142,0.8871,1,,0
N LOW β=0.01,MMLU,0.5018,0.5025,+0.0007,0.038,0.9693,1,,0
N LOW β=0.01,Macro,0.5372,0.5363,-0.0009,-0.102,0.9189,1,,1
N LOW β=0.01,TruthfulQA,0.5058,0.5070,+0.0011,0.052,0.9586,1,,0
N LOW β=0.01,WinoGrande,0.6890,0.6890,+0.0000,0.000,1,1,,0
N LOW β=0.1,ARC-C,0.4488,0.4480,-0.0009,-0.042,0.9669,1,,0
N LOW β=0.1,BoolQ,0.7940,0.7940,+0.0000,0.000,1,1,,0
N LOW β=0.1,GSM8K,0.1550,0.1500,-0.0050,-0.139,0.8897,1,,0
N LOW β=0.1,HellaSwag,0.6660,0.6620,-0.0040,-0.189,0.8499,1,,0
N LOW β=0.1,MMLU,0.5018,0.5032,+0.0014,0.077,0.9386,1,,0
N LOW β=0.1,Macro,0.5372,0.5363,-0.0009,-0.099,0.9212,1,,1
N LOW β=0.1,TruthfulQA,0.5058,0.5075,+0.0017,0.076,0.9395,1,,0
N LOW β=0.1,WinoGrande,0.6890,0.6898,+0.0008,0.043,0.9658,1,,0
N LOW β=0.5,ARC-C,0.4488,0.4488,+0.0000,0.000,1,1,,0
N LOW β=0.5,BoolQ,0.7940,0.7920,-0.0020,-0.110,0.9122,1,,0
N LOW β=0.5,GSM8K,0.1550,0.1600,+0.0050,0.137,0.8911,1,,0
N LOW β=0.5,HellaSwag,0.6660,0.6620,-0.0040,-0.189,0.8499,1,,0
N LOW β=0.5,MMLU,0.5018,0.5032,+0.0014,0.077,0.9386,1,,0
N LOW β=0.5,Macro,0.5372,0.5375,+0.0003,0.039,0.9689,1,,1
N LOW β=0.5,TruthfulQA,0.5058,0.5078,+0.0020,0.089,0.9292,1,,0
N LOW β=0.5,WinoGrande,0.6890,0.6890,+0.0000,0.000,1,1,,0
O HIGH β=0.01,ARC-C,0.4488,0.4522,+0.0034,0.166,0.8682,1,,0
O HIGH β=0.01,BoolQ,0.7940,0.8000,+0.0060,0.333,0.7388,1,,0
O HIGH β=0.01,GSM8K,0.1550,0.1500,-0.0050,-0.139,0.8897,1,,0
O HIGH β=0.01,HellaSwag,0.6660,0.6620,-0.0040,-0.189,0.8499,1,,0
O HIGH β=0.01,MMLU,0.5018,0.5081,+0.0063,0.347,0.7289,1,,0
O HIGH β=0.01,Macro,0.5372,0.5378,+0.0006,0.066,0.9476,1,,1
O HIGH β=0.01,TruthfulQA,0.5058,0.5054,-0.0004,-0.018,0.986,1,,0
O HIGH β=0.01,WinoGrande,0.6890,0.6867,-0.0024,-0.129,0.8977,1,,0
O HIGH β=0.1,ARC-C,0.4488,0.4522,+0.0034,0.166,0.8682,1,,0
O HIGH β=0.1,BoolQ,0.7940,0.7990,+0.0050,0.278,0.7813,1,,0
O HIGH β=0.1,GSM8K,0.1550,0.1550,+0.0000,0.000,1,1,,0
O HIGH β=0.1,HellaSwag,0.6660,0.6620,-0.0040,-0.189,0.8499,1,,0
O HIGH β=0.1,MMLU,0.5018,0.5095,+0.0077,0.424,0.6716,1,,0
O HIGH β=0.1,Macro,0.5372,0.5389,+0.0017,0.202,0.8401,1,,1
O HIGH β=0.1,TruthfulQA,0.5058,0.5051,-0.0007,-0.031,0.9749,1,,0
O HIGH β=0.1,WinoGrande,0.6890,0.6898,+0.0008,0.043,0.9658,1,,0
O HIGH β=0.5,ARC-C,0.4488,0.4514,+0.0026,0.124,0.9009,1,,0
O HIGH β=0.5,BoolQ,0.7940,0.7990,+0.0050,0.278,0.7813,1,,0
O HIGH β=0.5,GSM8K,0.1550,0.1500,-0.0050,-0.139,0.8897,1,,0
O HIGH β=0.5,HellaSwag,0.6660,0.6630,-0.0030,-0.142,0.8871,1,,0
O HIGH β=0.5,MMLU,0.5018,0.5060,+0.0042,0.231,0.8173,1,,0
O HIGH β=0.5,Macro,0.5372,0.5382,+0.0010,0.110,0.9122,1,,1
O HIGH β=0.5,TruthfulQA,0.5058,0.5048,-0.0011,-0.048,0.9621,1,,0
O HIGH β=0.5,WinoGrande,0.6890,0.6930,+0.0039,0.215,0.8299,1,,0
O LOW β=0.01,ARC-C,0.4488,0.4437,-0.0051,-0.249,0.8032,1,,0
O LOW β=0.01,BoolQ,0.7940,0.7930,-0.0010,-0.055,0.956,1,,0
O LOW β=0.01,GSM8K,0.1550,0.1500,-0.0050,-0.139,0.8897,1,,0
O LOW β=0.01,HellaSwag,0.6660,0.6640,-0.0020,-0.095,0.9246,1,,0
O LOW β=0.01,MMLU,0.5018,0.5039,+0.0021,0.115,0.9082,1,,0
O LOW β=0.01,Macro,0.5372,0.5350,-0.0022,-0.249,0.8031,1,,1
O LOW β=0.01,TruthfulQA,0.5058,0.5065,+0.0007,0.031,0.9756,1,,0
O LOW β=0.01,WinoGrande,0.6890,0.6843,-0.0047,-0.257,0.7973,1,,0
O LOW β=0.1,ARC-C,0.4488,0.4454,-0.0034,-0.166,0.8681,1,,0
O LOW β=0.1,BoolQ,0.7940,0.7920,-0.0020,-0.110,0.9122,1,,0
O LOW β=0.1,GSM8K,0.1550,0.1500,-0.0050,-0.139,0.8897,1,,0
O LOW β=0.1,HellaSwag,0.6660,0.6630,-0.0030,-0.142,0.8871,1,,0
O LOW β=0.1,MMLU,0.5018,0.5032,+0.0014,0.077,0.9387,1,,0
O LOW β=0.1,Macro,0.5372,0.5351,-0.0021,-0.242,0.8085,1,,1
O LOW β=0.1,TruthfulQA,0.5058,0.5063,+0.0005,0.023,0.9813,1,,0
O LOW β=0.1,WinoGrande,0.6890,0.6859,-0.0032,-0.171,0.8639,1,,0
O LOW β=0.5,ARC-C,0.4488,0.4445,-0.0043,-0.208,0.8355,1,,0
