variant,MMLU,MMLU_lo,MMLU_hi,MMLU_N,ARC-C,ARC-C_lo,ARC-C_hi,ARC-C_N,HellaSwag,HellaSwag_lo,HellaSwag_hi,HellaSwag_N,WinoGrande,WinoGrande_lo,WinoGrande_hi,WinoGrande_N,TruthfulQA,TruthfulQA_lo,TruthfulQA_hi,TruthfulQA_N,BoolQ,BoolQ_lo,BoolQ_hi,BoolQ_N,GSM8K,GSM8K_lo,GSM8K_hi,GSM8K_N,Macro,Macro_lo,Macro_hi
SFT baseline,0.5018,0.4765,0.5270,1425,0.4488,0.4203,0.4773,1172,0.6660,0.6368,0.6952,1000,0.6890,0.6635,0.7145,1267,0.5058,0.4752,0.5364,817,0.7940,0.7689,0.8191,1000,0.1550,0.1047,0.2053,200,0.5372,0.5252,0.5492
O HIGH β=0.01,0.5081,0.4828,0.5333,1425,0.4522,0.4237,0.4807,1172,0.6620,0.6327,0.6913,1000,0.6867,0.6611,0.7122,1267,0.5054,0.4747,0.5362,817,0.8000,0.7752,0.8248,1000,0.1500,0.1004,0.1996,200,0.5378,0.5258,0.5497
O HIGH β=0.1,0.5095,0.4842,0.5347,1425,0.4522,0.4237,0.4807,1172,0.6620,0.6327,0.6913,1000,0.6898,0.6643,0.7153,1267,0.5051,0.4744,0.5359,817,0.7990,0.7741,0.8239,1000,0.1550,0.1047,0.2053,200,0.5389,0.5270,0.5509
O HIGH β=0.5,0.5060,0.4807,0.5312,1425,0.4514,0.4229,0.4799,1172,0.6630,0.6337,0.6923,1000,0.6930,0.6676,0.7184,1267,0.5048,0.4740,0.5355,817,0.7990,0.7741,0.8239,1000,0.1500,0.1004,0.1996,200,0.5382,0.5262,0.5501
O LOW β=0.01,0.5039,0.4785,0.5292,1425,0.4437,0.4152,0.4721,1172,0.6640,0.6347,0.6933,1000,0.6843,0.6587,0.7099,1267,0.5065,0.4760,0.5370,817,0.7930,0.7679,0.8181,1000,0.1500,0.1004,0.1996,200,0.5350,0.5231,0.5470
O LOW β=0.1,0.5032,0.4778,0.5285,1425,0.4454,0.4169,0.4739,1172,0.6630,0.6337,0.6923,1000,0.6859,0.6603,0.7114,1267,0.5063,0.4758,0.5369,817,0.7920,0.7668,0.8172,1000,0.1500,0.1004,0.1996,200,0.5351,0.5232,0.5471
O LOW β=0.5,0.5039,0.4785,0.5292,1425,0.4445,0.4161,0.4730,1172,0.6640,0.6347,0.6933,1000,0.6867,0.6611,0.7122,1267,0.5068,0.4762,0.5373,817,0.7930,0.7679,0.8181,1000,0.1500,0.1004,0.1996,200,0.5355,0.5236,0.5475
C HIGH β=0.01,0.5053,0.4800,0.5306,1425,0.4522,0.4237,0.4807,1172,0.6600,0.6306,0.6894,1000,0.6890,0.6635,0.7145,1267,0.5078,0.4771,0.5386,817,0.7990,0.7741,0.8239,1000,0.1450,0.0961,0.1939,200,0.5369,0.5250,0.5488
C HIGH β=0.1,0.5081,0.4828,0.5334,1425,0.4539,0.4254,0.4824,1172,0.6610,0.6316,0.6904,1000,0.6890,0.6635,0.7145,1267,0.5082,0.4774,0.5390,817,0.7980,0.7731,0.8229,1000,0.1450,0.0961,0.1939,200,0.5376,0.5257,0.5495
C HIGH β=0.5,0.5053,0.4800,0.5305,1425,0.4522,0.4237,0.4807,1172,0.6600,0.6306,0.6894,1000,0.6867,0.6611,0.7122,1267,0.5079,0.4771,0.5386,817,0.7980,0.7731,0.8229,1000,0.1600,0.1091,0.2109,200,0.5386,0.5265,0.5506
