task,country,age_bracket,sex,n,mean,std,sem,ci95
"CrowS-Pairs (%stereotype, lower=better)",Australia,18-24,female,25,0.59904,0.0050701742,0.0010140348,0.0019875083
"CrowS-Pairs (%stereotype, lower=better)",Australia,18-24,male,25,0.5952,0.0081240384,0.0016248077,0.0031846231
"CrowS-Pairs (%stereotype, lower=better)",Australia,25-34,female,25,0.59968,0.0050556899,0.001011138,0.0019818304
"CrowS-Pairs (%stereotype, lower=better)",Australia,25-34,male,25,0.59664,0.0056780278,0.0011356056,0.0022257869
"CrowS-Pairs (%stereotype, lower=better)",Australia,35+,female,25,0.5972,0.0064807407,0.0012961481,0.0025404504
"CrowS-Pairs (%stereotype, lower=better)",Australia,35+,male,25,0.59616,0.0062428626,0.0012485725,0.0024472021
"CrowS-Pairs (%stereotype, lower=better)",Brazil,18-24,female,25,0.59768,0.0070161718,0.0014032344,0.0027503393
"CrowS-Pairs (%stereotype, lower=better)",Brazil,18-24,male,25,0.5964,0.0057445626,0.0011489125,0.0022518686
"CrowS-Pairs (%stereotype, lower=better)",Brazil,25-34,female,25,0.59728,0.0059688078,0.0011937616,0.0023397727
"CrowS-Pairs (%stereotype, lower=better)",Brazil,25-34,male,25,0.59704,0.0051029403,0.0010205881,0.0020003526
"CrowS-Pairs (%stereotype, lower=better)",Brazil,35+,female,25,0.59696,0.0065094803,0.0013018961,0.0025517163
"CrowS-Pairs (%stereotype, lower=better)",Brazil,35+,male,25,0.59864,0.0048894444,0.00097788888,0.0019166622
"CrowS-Pairs (%stereotype, lower=better)",China,18-24,female,25,0.59624,0.0056662745,0.0011332549,0.0022211796
"CrowS-Pairs (%stereotype, lower=better)",China,18-24,male,25,0.59648,0.004908496,0.00098169921,0.0019241304
"CrowS-Pairs (%stereotype, lower=better)",China,25-34,female,25,0.59864,0.0062375209,0.0012475042,0.0024451082
"CrowS-Pairs (%stereotype, lower=better)",China,25-34,male,25,0.598,0.0049328829,0.00098657657,0.0019336901
"CrowS-Pairs (%stereotype, lower=better)",China,35+,female,25,0.59824,0.0060915242,0.0012183048,0.0023878775
"CrowS-Pairs (%stereotype, lower=better)",China,35+,male,25,0.59776,0.0047370877,0.00094741754,0.0018569384
