adapter_id,country,sex,age_bracket,HHH alignment,Sycophancy (mean of 3),ETHICS commonsense,ETHICS deontology,ETHICS justice,ETHICS utilitarianism,ETHICS virtue,Moral stories (acc_norm),"CrowS-Pairs (%stereotype, lower=better)"
0,USA,male,18-24,0.46606335,0.956,0.786,0.63,0.64,0.628,0.898,0.644,0.596
1,USA,male,18-24,0.46606335,0.96866667,0.806,0.638,0.636,0.614,0.91,0.638,0.604
2,USA,male,18-24,0.47058824,0.97733333,0.796,0.628,0.636,0.62,0.898,0.64,0.606
3,USA,male,18-24,0.47058824,0.96066667,0.786,0.638,0.65,0.66,0.9,0.64,0.588
4,USA,male,18-24,0.46153846,0.95266667,0.798,0.644,0.646,0.62,0.904,0.642,0.602
5,USA,male,18-24,0.46606335,0.968,0.776,0.648,0.672,0.606,0.912,0.634,0.592
6,USA,male,18-24,0.46606335,0.95866667,0.788,0.644,0.662,0.632,0.912,0.636,0.582
7,USA,male,18-24,0.46606335,0.97,0.794,0.636,0.648,0.67,0.896,0.644,0.606
8,USA,male,18-24,0.46153846,0.95733333,0.788,0.648,0.654,0.63,0.91,0.64,0.598
9,USA,male,18-24,0.46606335,0.96333333,0.786,0.632,0.646,0.626,0.906,0.642,0.596
10,USA,male,18-24,0.46153846,0.974,0.78,0.65,0.656,0.618,0.908,0.634,0.594
11,USA,male,18-24,0.46153846,0.96333333,0.79,0.638,0.64,0.664,0.906,0.642,0.588
12,USA,male,18-24,0.47058824,0.94733333,0.768,0.644,0.678,0.628,0.906,0.638,0.586
13,USA,male,18-24,0.47058824,0.964,0.77,0.65,0.678,0.614,0.91,0.634,0.598
14,USA,male,18-24,0.47058824,0.95533333,0.778,0.644,0.66,0.618,0.906,0.642,0.598
15,USA,male,18-24,0.47058824,0.95333333,0.782,0.634,0.638,0.648,0.904,0.644,0.596
16,USA,male,18-24,0.47058824,0.974,0.794,0.644,0.64,0.61,0.908,0.638,0.602
17,USA,male,18-24,0.46606335,0.98,0.782,0.632,0.644,0.676,0.888,0.638,0.6
18,USA,male,18-24,0.46606335,0.97333333,0.776,0.648,0.66,0.616,0.906,0.636,0.586
19,USA,male,18-24,0.46606335,0.98,0.794,0.638,0.642,0.636,0.906,0.642,0.61
20,USA,male,18-24,0.47058824,0.97933333,0.8,0.63,0.634,0.634,0.902,0.646,0.598
21,USA,male,18-24,0.46606335,0.98133333,0.776,0.64,0.64,0.672,0.878,0.642,0.598
22,USA,male,18-24,0.46606335,0.97333333,0.792,0.64,0.636,0.594,0.91,0.632,0.612
23,USA,male,18-24,0.47058824,0.95733333,0.796,0.64,0.64,0.622,0.91,0.644,0.6
24,USA,male,18-24,0.46606335,0.974,0.78,0.654,0.666,0.614,0.908,0.636,0.604
25,USA,female,18-24,0.46606335,0.95533333,0.76,0.642,0.668,0.652,0.898,0.636,0.598
26,USA,female,18-24,0.47058824,0.94466667,0.78,0.626,0.63,0.602,0.884,0.64,0.602
27,USA,female,18-24,0.46153846,0.97466667,0.788,0.65,0.664,0.628,0.908,0.642,0.596
28,USA,female,18-24,0.46606335,0.97133333,0.824,0.626,0.63,0.616,0.904,0.644,0.602
29,USA,female,18-24,0.46153846,0.98133333,0.784,0.64,0.644,0.608,0.898,0.642,0.596
30,USA,female,18-24,0.46606335,0.972,0.788,0.64,0.638,0.67,0.892,0.646,0.606
31,USA,female,18-24,0.46606335,0.984,0.76,0.648,0.66,0.696,0.892,0.634,0.594
32,USA,female,18-24,0.46606335,0.97466667,0.81,0.62,0.624,0.596,0.9,0.642,0.598
33,USA,female,18-24,0.46606335,0.96533333,0.788,0.63,0.64,0.62,0.894,0.642,0.602
34,USA,female,18-24,0.46606335,0.98533333,0.762,0.646,0.662,0.666,0.886,0.64,0.594
35,USA,female,18-24,0.46606335,0.964,0.804,0.628,0.638,0.634,0.902,0.642,0.604
36,USA,female,18-24,0.46606335,0.97,0.778,0.65,0.68,0.61,0.908,0.634,0.606
37,USA,female,18-24,0.46606335,0.97466667,0.8,0.648,0.638,0.602,0.912,0.636,0.608
38,USA,female,18-24,0.46606335,0.98533333,0.782,0.628,0.64,0.648,0.888,0.638,0.602
39,USA,female,18-24,0.47058824,0.97066667,0.786,0.646,0.65,0.614,0.904,0.638,0.6
40,USA,female,18-24,0.46606335,0.98466667,0.766,0.64,0.654,0.644,0.894,0.638,0.604
41,USA,female,18-24,0.46153846,0.984,0.782,0.644,0.652,0.69,0.894,0.638,0.59
42,USA,female,18-24,0.46606335,0.97866667,0.754,0.644,0.646,0.646,0.894,0.64,0.596
43,USA,female,18-24,0.46153846,0.96066667,0.794,0.636,0.634,0.664,0.892,0.646,0.588
44,USA,female,18-24,0.46606335,0.978,0.772,0.646,0.65,0.642,0.89,0.638,0.6
45,USA,female,18-24,0.46606335,0.95466667,0.802,0.63,0.642,0.644,0.9,0.642,0.596
46,USA,female,18-24,0.46606335,0.974,0.782,0.652,0.658,0.608,0.908,0.634,0.612
47,USA,female,18-24,0.46606335,0.97333333,0.792,0.636,0.64,0.614,0.91,0.638,0.594
48,USA,female,18-24,0.46606335,0.974,0.774,0.646,0.664,0.618,0.91,0.636,0.606
49,USA,female,18-24,0.47058824,0.98133333,0.782,0.634,0.636,0.652,0.89,0.64,0.59
50,USA,male,25-34,0.46153846,0.97333333,0.804,0.63,0.632,0.624,0.908,0.644,0.594
51,USA,male,25-34,0.46606335,0.95333333,0.782,0.642,0.654,0.638,0.892,0.642,0.598
52,USA,male,25-34,0.46153846,0.98133333,0.794,0.632,0.642,0.66,0.898,0.64,0.588
53,USA,male,25-34,0.46153846,0.95866667,0.798,0.626,0.642,0.628,0.896,0.644,0.59
54,USA,male,25-34,0.46606335,0.97866667,0.792,0.636,0.644,0.63,0.908,0.644,0.594
55,USA,male,25-34,0.46606335,0.95933333,0.788,0.644,0.656,0.646,0.902,0.642,0.592
56,USA,male,25-34,0.46153846,0.95533333,0.778,0.628,0.64,0.62,0.896,0.64,0.598
57,USA,male,25-34,0.46153846,0.93266667,0.776,0.642,0.656,0.666,0.894,0.642,0.598
58,USA,male,25-34,0.46606335,0.95866667,0.778,0.656,0.672,0.622,0.91,0.636,0.6
59,USA,male,25-34,0.46606335,0.95733333,0.788,0.634,0.648,0.638,0.898,0.642,0.588
60,USA,male,25-34,0.46153846,0.96333333,0.78,0.644,0.654,0.622,0.91,0.638,0.592
61,USA,male,25-34,0.46606335,0.966,0.796,0.634,0.64,0.638,0.894,0.646,0.606
62,USA,male,25-34,0.46606335,0.976,0.794,0.63,0.636,0.606,0.906,0.638,0.608
63,USA,male,25-34,0.46606335,0.97333333,0.778,0.646,0.652,0.602,0.912,0.636,0.598
64,USA,male,25-34,0.46606335,0.95533333,0.78,0.64,0.656,0.62,0.902,0.638,0.592
65,USA,male,25-34,0.47058824,0.97066667,0.816,0.59,0.594,0.598,0.884,0.646,0.602
66,USA,male,25-34,0.46153846,0.97666667,0.804,0.622,0.632,0.616,0.882,0.64,0.604
67,USA,male,25-34,0.46606335,0.95,0.788,0.656,0.662,0.638,0.906,0.638,0.594
68,USA,male,25-34,0.46153846,0.944,0.774,0.652,0.682,0.616,0.914,0.636,0.598
69,USA,male,25-34,0.46606335,0.958,0.79,0.632,0.634,0.642,0.89,0.638,0.594
70,USA,male,25-34,0.46606335,0.954,0.782,0.648,0.654,0.67,0.888,0.644,0.598
71,USA,male,25-34,0.46153846,0.97733333,0.782,0.642,0.642,0.668,0.9,0.642,0.594
72,USA,male,25-34,0.46606335,0.95666667,0.792,0.628,0.638,0.63,0.9,0.642,0.6
73,USA,male,25-34,0.47058824,0.96066667,0.774,0.644,0.68,0.606,0.912,0.636,0.594
74,USA,male,25-34,0.46153846,0.96133333,0.804,0.632,0.636,0.628,0.894,0.642,0.596
75,USA,female,25-34,0.46606335,0.964,0.786,0.632,0.644,0.642,0.888,0.64,0.602
76,USA,female,25-34,0.47058824,0.974,0.792,0.632,0.636,0.606,0.892,0.64,0.594
77,USA,female,25-34,0.46153846,0.98133333,0.784,0.638,0.65,0.662,0.896,0.64,0.594
78,USA,female,25-34,0.46606335,0.97733333,0.788,0.646,0.654,0.608,0.91,0.636,0.598
79,USA,female,25-34,0.46153846,0.98133333,0.786,0.632,0.628,0.604,0.896,0.642,0.606
80,USA,female,25-34,0.46606335,0.98133333,0.784,0.636,0.638,0.626,0.89,0.644,0.598
81,USA,female,25-34,0.47058824,0.98066667,0.784,0.632,0.63,0.624,0.886,0.642,0.598
82,USA,female,25-34,0.46606335,0.978,0.772,0.65,0.662,0.63,0.902,0.636,0.598
