variant,MMLU,MMLU_lo,MMLU_hi,MMLU_N,ARC-C,ARC-C_lo,ARC-C_hi,ARC-C_N,HellaSwag,HellaSwag_lo,HellaSwag_hi,HellaSwag_N,WinoGrande,WinoGrande_lo,WinoGrande_hi,WinoGrande_N,TruthfulQA,TruthfulQA_lo,TruthfulQA_hi,TruthfulQA_N,BoolQ,BoolQ_lo,BoolQ_hi,BoolQ_N,GSM8K,GSM8K_lo,GSM8K_hi,GSM8K_N,Macro,Macro_lo,Macro_hi
O HIGH β=0.01,0.5467,0.5217,0.5716,1425,0.5077,0.4790,0.5363,1172,0.7040,0.6757,0.7323,1000,0.7072,0.6821,0.7322,1267,0.4602,0.4306,0.4897,817,0.8370,0.8141,0.8599,1000,0.4050,0.3368,0.4732,200,0.5954,0.5819,0.6089
O HIGH β=0.1,0.5481,0.5231,0.5730,1425,0.5077,0.4790,0.5363,1172,0.7020,0.6736,0.7304,1000,0.7088,0.6837,0.7338,1267,0.4600,0.4305,0.4895,817,0.8380,0.8152,0.8608,1000,0.4150,0.3465,0.4835,200,0.5971,0.5836,0.6106
O HIGH β=0.5,0.5474,0.5224,0.5723,1425,0.5068,0.4782,0.5355,1172,0.7030,0.6747,0.7313,1000,0.7088,0.6837,0.7338,1267,0.4607,0.4311,0.4902,817,0.8390,0.8162,0.8618,1000,0.4100,0.3417,0.4783,200,0.5965,0.5830,0.6100
O LOW β=0.01,0.5432,0.5182,0.5681,1425,0.5034,0.4748,0.5321,1172,0.7020,0.6736,0.7304,1000,0.7080,0.6829,0.7330,1267,0.4614,0.4319,0.4909,817,0.8380,0.8152,0.8608,1000,0.4200,0.3514,0.4886,200,0.5966,0.5830,0.6101
O LOW β=0.1,0.5425,0.5175,0.5675,1425,0.5017,0.4731,0.5303,1172,0.7020,0.6736,0.7304,1000,0.7088,0.6837,0.7338,1267,0.4617,0.4322,0.4911,817,0.8400,0.8173,0.8627,1000,0.4050,0.3368,0.4732,200,0.5945,0.5810,0.6080
O LOW β=0.5,0.5446,0.5196,0.5696,1425,0.5043,0.4756,0.5329,1172,0.7020,0.6736,0.7304,1000,0.7111,0.6862,0.7361,1267,0.4616,0.4321,0.4911,817,0.8390,0.8162,0.8618,1000,0.4150,0.3465,0.4835,200,0.5968,0.5833,0.6103
C HIGH β=0.01,0.5446,0.5196,0.5696,1425,0.5085,0.4799,0.5372,1172,0.7040,0.6757,0.7323,1000,0.7072,0.6821,0.7322,1267,0.4611,0.4316,0.4907,817,0.8380,0.8152,0.8608,1000,0.4000,0.3319,0.4681,200,0.5948,0.5813,0.6083
C HIGH β=0.1,0.5460,0.5210,0.5709,1425,0.5085,0.4799,0.5372,1172,0.7040,0.6757,0.7323,1000,0.7096,0.6845,0.7346,1267,0.4610,0.4315,0.4906,817,0.8390,0.8162,0.8618,1000,0.3950,0.3271,0.4629,200,0.5947,0.5813,0.6082
C HIGH β=0.5,0.5474,0.5224,0.5723,1425,0.5077,0.4790,0.5363,1172,0.7020,0.6736,0.7304,1000,0.7088,0.6837,0.7338,1267,0.4611,0.4316,0.4907,817,0.8390,0.8162,0.8618,1000,0.4050,0.3368,0.4732,200,0.5958,0.5824,0.6093
C LOW β=0.01,0.5418,0.5168,0.5667,1425,0.5009,0.4722,0.5295,1172,0.7030,0.6747,0.7313,1000,0.7088,0.6837,0.7338,1267,0.4608,0.4313,0.4903,817,0.8390,0.8162,0.8618,1000,0.4250,0.3563,0.4937,200,0.5970,0.5835,0.6106
