config,task,score_base,score_dpo,delta,z,p_raw,p_bh,sig_fdr05,is_macro
A HIGH β=0.01,ARC-C,0.4283,0.4309,+0.0026,0.125,0.9004,1,,0
A HIGH β=0.01,BoolQ,0.7870,0.7860,-0.0010,-0.055,0.9565,1,,0
A HIGH β=0.01,GSM8K,0.1200,0.1150,-0.0050,-0.155,0.8769,1,,0
A HIGH β=0.01,HellaSwag,0.6660,0.6680,+0.0020,0.095,0.9244,1,,0
A HIGH β=0.01,MMLU,0.3726,0.3712,-0.0014,-0.079,0.9372,1,,0
A HIGH β=0.01,Macro,0.5010,0.5005,-0.0004,-0.051,0.9596,1,,1
A HIGH β=0.01,TruthfulQA,0.4627,0.4602,-0.0025,-0.110,0.9125,1,,0
A HIGH β=0.01,WinoGrande,0.6701,0.6725,+0.0024,0.127,0.8991,1,,0
A HIGH β=0.1,ARC-C,0.4283,0.4334,+0.0051,0.250,0.8025,1,,0
A HIGH β=0.1,BoolQ,0.7870,0.7880,+0.0010,0.055,0.9564,1,,0
A HIGH β=0.1,GSM8K,0.1200,0.1250,+0.0050,0.152,0.8791,1,,0
A HIGH β=0.1,HellaSwag,0.6660,0.6650,-0.0010,-0.047,0.9622,1,,0
A HIGH β=0.1,MMLU,0.3726,0.3712,-0.0014,-0.079,0.9371,1,,0
A HIGH β=0.1,Macro,0.5010,0.5025,+0.0015,0.178,0.8588,1,,1
A HIGH β=0.1,TruthfulQA,0.4627,0.4597,-0.0030,-0.132,0.8947,1,,0
A HIGH β=0.1,WinoGrande,0.6701,0.6748,+0.0047,0.254,0.7996,1,,0
A HIGH β=0.5,ARC-C,0.4283,0.4326,+0.0043,0.208,0.8348,1,,0
A HIGH β=0.5,BoolQ,0.7870,0.7910,+0.0040,0.219,0.8266,1,,0
A HIGH β=0.5,GSM8K,0.1200,0.1250,+0.0050,0.152,0.8791,1,,0
A HIGH β=0.5,HellaSwag,0.6660,0.6690,+0.0030,0.142,0.8868,1,,0
A HIGH β=0.5,MMLU,0.3726,0.3733,+0.0007,0.039,0.9686,1,,0
A HIGH β=0.5,Macro,0.5010,0.5033,+0.0023,0.276,0.7824,1,,1
A HIGH β=0.5,TruthfulQA,0.4627,0.4603,-0.0023,-0.102,0.9185,1,,0
A HIGH β=0.5,WinoGrande,0.6701,0.6717,+0.0016,0.085,0.9326,1,,0
A LOW β=0.01,ARC-C,0.4283,0.4292,+0.0009,0.042,0.9667,1,,0
A LOW β=0.01,BoolQ,0.7870,0.7850,-0.0020,-0.109,0.9132,1,,0
A LOW β=0.01,GSM8K,0.1200,0.0850,-0.0350,-1.153,0.2489,1,,0
A LOW β=0.01,HellaSwag,0.6660,0.6590,-0.0070,-0.331,0.7407,1,,0
A LOW β=0.01,MMLU,0.3726,0.3719,-0.0007,-0.039,0.9686,1,,0
A LOW β=0.01,Macro,0.5010,0.4951,-0.0058,-0.712,0.4763,1,,1
A LOW β=0.01,TruthfulQA,0.4627,0.4687,+0.0061,0.269,0.788,1,,0
A LOW β=0.01,WinoGrande,0.6701,0.6669,-0.0032,-0.169,0.866,1,,0
A LOW β=0.1,ARC-C,0.4283,0.4292,+0.0009,0.042,0.9667,1,,0
A LOW β=0.1,BoolQ,0.7870,0.7850,-0.0020,-0.109,0.9132,1,,0
A LOW β=0.1,GSM8K,0.1200,0.1000,-0.0200,-0.638,0.5235,1,,0
A LOW β=0.1,HellaSwag,0.6660,0.6620,-0.0040,-0.189,0.8499,1,,0
A LOW β=0.1,MMLU,0.3726,0.3754,+0.0028,0.158,0.8747,1,,0
A LOW β=0.1,Macro,0.5010,0.4979,-0.0031,-0.372,0.7102,1,,1
A LOW β=0.1,TruthfulQA,0.4627,0.4682,+0.0055,0.245,0.8066,1,,0
A LOW β=0.1,WinoGrande,0.6701,0.6654,-0.0047,-0.253,0.8003,1,,0
A LOW β=0.5,ARC-C,0.4283,0.4275,-0.0009,-0.042,0.9667,1,,0
A LOW β=0.5,BoolQ,0.7870,0.7870,+0.0000,0.000,1,1,,0
A LOW β=0.5,GSM8K,0.1200,0.1100,-0.0100,-0.313,0.7545,1,,0
A LOW β=0.5,HellaSwag,0.6660,0.6640,-0.0020,-0.095,0.9246,1,,0
A LOW β=0.5,MMLU,0.3726,0.3712,-0.0014,-0.079,0.937,1,,0
A LOW β=0.5,Macro,0.5010,0.4991,-0.0018,-0.221,0.8248,1,,1
A LOW β=0.5,TruthfulQA,0.4627,0.4656,+0.0029,0.130,0.8968,1,,0
A LOW β=0.5,WinoGrande,0.6701,0.6685,-0.0016,-0.084,0.9327,1,,0
C HIGH β=0.01,ARC-C,0.4283,0.4309,+0.0026,0.125,0.9004,1,,0
C HIGH β=0.01,BoolQ,0.7870,0.7900,+0.0030,0.164,0.8696,1,,0
C HIGH β=0.01,GSM8K,0.1200,0.1200,+0.0000,0.000,1,1,,0
C HIGH β=0.01,HellaSwag,0.6660,0.6670,+0.0010,0.047,0.9622,1,,0
C HIGH β=0.01,MMLU,0.3726,0.3733,+0.0007,0.039,0.9686,1,,0
C HIGH β=0.01,Macro,0.5010,0.5022,+0.0012,0.144,0.8851,1,,1
C HIGH β=0.01,TruthfulQA,0.4627,0.4615,-0.0012,-0.051,0.9591,1,,0
C HIGH β=0.01,WinoGrande,0.6701,0.6725,+0.0024,0.127,0.8991,1,,0
C HIGH β=0.1,ARC-C,0.4283,0.4300,+0.0017,0.083,0.9335,1,,0
C HIGH β=0.1,BoolQ,0.7870,0.7880,+0.0010,0.055,0.9564,1,,0
C HIGH β=0.1,GSM8K,0.1200,0.1250,+0.0050,0.152,0.8791,1,,0
C HIGH β=0.1,HellaSwag,0.6660,0.6680,+0.0020,0.095,0.9244,1,,0
C HIGH β=0.1,MMLU,0.3726,0.3733,+0.0007,0.039,0.9686,1,,0
C HIGH β=0.1,Macro,0.5010,0.5023,+0.0013,0.154,0.8775,1,,1
C HIGH β=0.1,TruthfulQA,0.4627,0.4613,-0.0013,-0.060,0.9525,1,,0
C HIGH β=0.1,WinoGrande,0.6701,0.6701,+0.0000,0.000,1,1,,0
C HIGH β=0.5,ARC-C,0.4283,0.4309,+0.0026,0.125,0.9004,1,,0
C HIGH β=0.5,BoolQ,0.7870,0.7850,-0.0020,-0.109,0.9132,1,,0
C HIGH β=0.5,GSM8K,0.1200,0.1250,+0.0050,0.152,0.8791,1,,0
C HIGH β=0.5,HellaSwag,0.6660,0.6630,-0.0030,-0.142,0.8871,1,,0
C HIGH β=0.5,MMLU,0.3726,0.3719,-0.0007,-0.039,0.9686,1,,0
C HIGH β=0.5,Macro,0.5010,0.5011,+0.0002,0.023,0.9819,1,,1
C HIGH β=0.5,TruthfulQA,0.4627,0.4605,-0.0021,-0.093,0.9259,1,,0
C HIGH β=0.5,WinoGrande,0.6701,0.6717,+0.0016,0.085,0.9326,1,,0
C LOW β=0.01,ARC-C,0.4283,0.4292,+0.0009,0.042,0.9667,1,,0
C LOW β=0.01,BoolQ,0.7870,0.7870,+0.0000,0.000,1,1,,0
C LOW β=0.01,GSM8K,0.1200,0.0950,-0.0250,-0.806,0.4204,1,,0
C LOW β=0.01,HellaSwag,0.6660,0.6650,-0.0010,-0.047,0.9622,1,,0
C LOW β=0.01,MMLU,0.3726,0.3754,+0.0028,0.158,0.8747,1,,0
C LOW β=0.01,Macro,0.5010,0.4982,-0.0027,-0.333,0.7393,1,,1
C LOW β=0.01,TruthfulQA,0.4627,0.4666,+0.0039,0.173,0.8628,1,,0
C LOW β=0.01,WinoGrande,0.6701,0.6693,-0.0008,-0.042,0.9663,1,,0
C LOW β=0.1,ARC-C,0.4283,0.4292,+0.0009,0.042,0.9667,1,,0
C LOW β=0.1,BoolQ,0.7870,0.7860,-0.0010,-0.055,0.9565,1,,0
C LOW β=0.1,GSM8K,0.1200,0.1100,-0.0100,-0.313,0.7545,1,,0
C LOW β=0.1,HellaSwag,0.6660,0.6630,-0.0030,-0.142,0.8871,1,,0
C LOW β=0.1,MMLU,0.3726,0.3740,+0.0014,0.079,0.9372,1,,0
C LOW β=0.1,Macro,0.5010,0.4994,-0.0016,-0.189,0.8504,1,,1
C LOW β=0.1,TruthfulQA,0.4627,0.4673,+0.0047,0.208,0.8355,1,,0
C LOW β=0.1,WinoGrande,0.6701,0.6661,-0.0039,-0.211,0.833,1,,0
C LOW β=0.5,ARC-C,0.4283,0.4275,-0.0009,-0.042,0.9667,1,,0
C LOW β=0.5,BoolQ,0.7870,0.7850,-0.0020,-0.109,0.9132,1,,0
C LOW β=0.5,GSM8K,0.1200,0.1050,-0.0150,-0.474,0.6357,1,,0
C LOW β=0.5,HellaSwag,0.6660,0.6670,+0.0010,0.047,0.9622,1,,0
C LOW β=0.5,MMLU,0.3726,0.3705,-0.0021,-0.119,0.9057,1,,0
C LOW β=0.5,Macro,0.5010,0.4984,-0.0025,-0.307,0.7588,1,,1
C LOW β=0.5,TruthfulQA,0.4627,0.4661,+0.0035,0.154,0.8775,1,,0
C LOW β=0.5,WinoGrande,0.6701,0.6677,-0.0024,-0.127,0.8993,1,,0
E HIGH β=0.01,ARC-C,0.4283,0.4292,+0.0009,0.042,0.9667,1,,0
E HIGH β=0.01,BoolQ,0.7870,0.7880,+0.0010,0.055,0.9564,1,,0
E HIGH β=0.01,GSM8K,0.1200,0.1100,-0.0100,-0.313,0.7545,1,,0
E HIGH β=0.01,HellaSwag,0.6660,0.6640,-0.0020,-0.095,0.9246,1,,0
E HIGH β=0.01,MMLU,0.3726,0.3712,-0.0014,-0.079,0.9372,1,,0
E HIGH β=0.01,Macro,0.5010,0.4985,-0.0024,-0.292,0.77,1,,1
E HIGH β=0.01,TruthfulQA,0.4627,0.4603,-0.0023,-0.103,0.9176,1,,0
E HIGH β=0.01,WinoGrande,0.6701,0.6669,-0.0032,-0.169,0.866,1,,0
E HIGH β=0.1,ARC-C,0.4283,0.4309,+0.0026,0.125,0.9004,1,,0
E HIGH β=0.1,BoolQ,0.7870,0.7890,+0.0020,0.109,0.9129,1,,0
E HIGH β=0.1,GSM8K,0.1200,0.1150,-0.0050,-0.155,0.8769,1,,0
E HIGH β=0.1,HellaSwag,0.6660,0.6630,-0.0030,-0.142,0.8871,1,,0
E HIGH β=0.1,MMLU,0.3726,0.3768,+0.0042,0.236,0.8135,1,,0
E HIGH β=0.1,Macro,0.5010,0.5000,-0.0009,-0.113,0.9097,1,,1
E HIGH β=0.1,TruthfulQA,0.4627,0.4592,-0.0035,-0.153,0.8783,1,,0
E HIGH β=0.1,WinoGrande,0.6701,0.6661,-0.0039,-0.211,0.833,1,,0
E HIGH β=0.5,ARC-C,0.4283,0.4300,+0.0017,0.083,0.9335,1,,0
E HIGH β=0.5,BoolQ,0.7870,0.7870,+0.0000,0.000,1,1,,0
E HIGH β=0.5,GSM8K,0.1200,0.1150,-0.0050,-0.155,0.8769,1,,0
E HIGH β=0.5,HellaSwag,0.6660,0.6650,-0.0010,-0.047,0.9622,1,,0
E HIGH β=0.5,MMLU,0.3726,0.3726,+0.0000,0.000,1,1,,0
E HIGH β=0.5,Macro,0.5010,0.4998,-0.0011,-0.135,0.8923,1,,1
E HIGH β=0.5,TruthfulQA,0.4627,0.4598,-0.0028,-0.126,0.9001,1,,0
E HIGH β=0.5,WinoGrande,0.6701,0.6693,-0.0008,-0.042,0.9663,1,,0
E LOW β=0.01,ARC-C,0.4283,0.4275,-0.0009,-0.042,0.9667,1,,0
E LOW β=0.01,BoolQ,0.7870,0.7850,-0.0020,-0.109,0.9132,1,,0
