variant,MMLU,MMLU_lo,MMLU_hi,MMLU_N,ARC-C,ARC-C_lo,ARC-C_hi,ARC-C_N,HellaSwag,HellaSwag_lo,HellaSwag_hi,HellaSwag_N,WinoGrande,WinoGrande_lo,WinoGrande_hi,WinoGrande_N,TruthfulQA,TruthfulQA_lo,TruthfulQA_hi,TruthfulQA_N,BoolQ,BoolQ_lo,BoolQ_hi,BoolQ_N,GSM8K,GSM8K_lo,GSM8K_hi,GSM8K_N,Macro,Macro_lo,Macro_hi
SFT baseline,0.3726,0.3480,0.3973,1425,0.4283,0.4000,0.4567,1172,0.6660,0.6368,0.6952,1000,0.6701,0.6442,0.6960,1267,0.4627,0.4313,0.4940,817,0.7870,0.7616,0.8124,1000,0.1200,0.0748,0.1652,200,0.5010,0.4894,0.5126
O HIGH β=0.01,0.3726,0.3479,0.3974,1425,0.4334,0.4051,0.4618,1172,0.6650,0.6357,0.6943,1000,0.6717,0.6458,0.6975,1267,0.4590,0.4276,0.4903,817,0.7920,0.7668,0.8172,1000,0.1050,0.0624,0.1476,200,0.4998,0.4884,0.5112
O HIGH β=0.1,0.3698,0.3452,0.3945,1425,0.4317,0.4034,0.4601,1172,0.6650,0.6357,0.6943,1000,0.6701,0.6442,0.6960,1267,0.4591,0.4278,0.4905,817,0.7890,0.7637,0.8143,1000,0.1150,0.0707,0.1593,200,0.5000,0.4884,0.5115
O HIGH β=0.5,0.3726,0.3479,0.3973,1425,0.4326,0.4042,0.4610,1172,0.6650,0.6357,0.6943,1000,0.6685,0.6426,0.6944,1267,0.4592,0.4279,0.4906,817,0.7890,0.7637,0.8143,1000,0.1150,0.0707,0.1593,200,0.5003,0.4887,0.5118
O LOW β=0.01,0.3705,0.3459,0.3951,1425,0.4275,0.3991,0.4558,1172,0.6640,0.6347,0.6933,1000,0.6677,0.6418,0.6937,1267,0.4663,0.4350,0.4976,817,0.7870,0.7616,0.8124,1000,0.1300,0.0833,0.1767,200,0.5019,0.4901,0.5136
O LOW β=0.1,0.3719,0.3473,0.3965,1425,0.4258,0.3974,0.4541,1172,0.6650,0.6357,0.6943,1000,0.6685,0.6426,0.6944,1267,0.4674,0.4361,0.4987,817,0.7870,0.7616,0.8124,1000,0.1100,0.0665,0.1535,200,0.4994,0.4879,0.5108
O LOW β=0.5,0.3705,0.3460,0.3951,1425,0.4283,0.4000,0.4567,1172,0.6660,0.6368,0.6952,1000,0.6677,0.6418,0.6937,1267,0.4657,0.4345,0.4970,817,0.7850,0.7595,0.8105,1000,0.1200,0.0748,0.1652,200,0.5005,0.4889,0.5121
C HIGH β=0.01,0.3733,0.3486,0.3981,1425,0.4309,0.4025,0.4593,1172,0.6670,0.6378,0.6962,1000,0.6725,0.6466,0.6983,1267,0.4615,0.4301,0.4929,817,0.7900,0.7647,0.8153,1000,0.1200,0.0748,0.1652,200,0.5022,0.4906,0.5138
C HIGH β=0.1,0.3733,0.3486,0.3981,1425,0.4300,0.4017,0.4584,1172,0.6680,0.6388,0.6972,1000,0.6701,0.6442,0.6960,1267,0.4613,0.4299,0.4927,817,0.7880,0.7627,0.8133,1000,0.1250,0.0790,0.1710,200,0.5023,0.4906,0.5139
C HIGH β=0.5,0.3719,0.3472,0.3967,1425,0.4309,0.4025,0.4593,1172,0.6630,0.6337,0.6923,1000,0.6717,0.6458,0.6975,1267,0.4605,0.4292,0.4919,817,0.7850,0.7595,0.8105,1000,0.1250,0.0790,0.1710,200,0.5011,0.4895,0.5128
C LOW β=0.01,0.3754,0.3508,0.4001,1425,0.4292,0.4008,0.4575,1172,0.6650,0.6357,0.6943,1000,0.6693,0.6434,0.6952,1267,0.4666,0.4352,0.4979,817,0.7870,0.7616,0.8124,1000,0.0950,0.0543,0.1357,200,0.4982,0.4869,0.5095
C LOW β=0.1,0.3740,0.3493,0.3987,1425,0.4292,0.4008,0.4575,1172,0.6630,0.6337,0.6923,1000,0.6661,0.6402,0.6921,1267,0.4673,0.4360,0.4987,817,0.7860,0.7606,0.8114,1000,0.1100,0.0665,0.1535,200,0.4994,0.4879,0.5109
C LOW β=0.5,0.3705,0.3460,0.3951,1425,0.4275,0.3991,0.4558,1172,0.6670,0.6378,0.6962,1000,0.6677,0.6418,0.6937,1267,0.4661,0.4348,0.4974,817,0.7850,0.7595,0.8105,1000,0.1050,0.0624,0.1476,200,0.4984,0.4870,0.5098
E HIGH β=0.01,0.3712,0.3465,0.3960,1425,0.4292,0.4008,0.4575,1172,0.6640,0.6347,0.6933,1000,0.6669,0.6410,0.6929,1267,0.4603,0.4290,0.4916,817,0.7880,0.7627,0.8133,1000,0.1100,0.0665,0.1535,200,0.4985,0.4870,0.5100
E HIGH β=0.1,0.3768,0.3520,0.4017,1425,0.4309,0.4025,0.4593,1172,0.6630,0.6337,0.6923,1000,0.6661,0.6402,0.6921,1267,0.4592,0.4279,0.4905,817,0.7890,0.7637,0.8143,1000,0.1150,0.0707,0.1593,200,0.5000,0.4885,0.5116
E HIGH β=0.5,0.3726,0.3480,0.3973,1425,0.4300,0.4017,0.4584,1172,0.6650,0.6357,0.6943,1000,0.6693,0.6434,0.6952,1267,0.4598,0.4285,0.4911,817,0.7870,0.7616,0.8124,1000,0.1150,0.0707,0.1593,200,0.4998,0.4883,0.5114
E LOW β=0.01,0.3719,0.3473,0.3965,1425,0.4275,0.3991,0.4558,1172,0.6640,0.6347,0.6933,1000,0.6693,0.6434,0.6952,1267,0.4652,0.4338,0.4965,817,0.7850,0.7595,0.8105,1000,0.1100,0.0665,0.1535,200,0.4990,0.4875,0.5105
E LOW β=0.1,0.3726,0.3480,0.3972,1425,0.4249,0.3966,0.4532,1172,0.6640,0.6347,0.6933,1000,0.6677,0.6418,0.6937,1267,0.4661,0.4347,0.4974,817,0.7860,0.7606,0.8114,1000,0.1200,0.0748,0.1652,200,0.5002,0.4886,0.5118
E LOW β=0.5,0.3747,0.3501,0.3994,1425,0.4292,0.4008,0.4575,1172,0.6660,0.6368,0.6952,1000,0.6693,0.6434,0.6952,1267,0.4664,0.4351,0.4978,817,0.7870,0.7616,0.8124,1000,0.1150,0.0707,0.1593,200,0.5011,0.4895,0.5126
A HIGH β=0.01,0.3712,0.3465,0.3959,1425,0.4309,0.4025,0.4593,1172,0.6680,0.6388,0.6972,1000,0.6725,0.6466,0.6983,1267,0.4602,0.4288,0.4915,817,0.7860,0.7606,0.8114,1000,0.1150,0.0707,0.1593,200,0.5005,0.4890,0.5121
A HIGH β=0.1,0.3712,0.3466,0.3959,1425,0.4334,0.4051,0.4618,1172,0.6650,0.6357,0.6943,1000,0.6748,0.6490,0.7006,1267,0.4597,0.4283,0.4910,817,0.7880,0.7627,0.8133,1000,0.1250,0.0790,0.1710,200,0.5025,0.4908,0.5141
A HIGH β=0.5,0.3733,0.3486,0.3980,1425,0.4326,0.4042,0.4610,1172,0.6690,0.6398,0.6982,1000,0.6717,0.6458,0.6975,1267,0.4603,0.4290,0.4917,817,0.7910,0.7658,0.8162,1000,0.1250,0.0790,0.1710,200,0.5033,0.4916,0.5149
A LOW β=0.01,0.3719,0.3472,0.3966,1425,0.4292,0.4008,0.4575,1172,0.6590,0.6296,0.6884,1000,0.6669,0.6410,0.6929,1267,0.4687,0.4374,0.5000,817,0.7850,0.7595,0.8105,1000,0.0850,0.0463,0.1237,200,0.4951,0.4840,0.5063
A LOW β=0.1,0.3754,0.3507,0.4001,1425,0.4292,0.4008,0.4575,1172,0.6620,0.6327,0.6913,1000,0.6654,0.6394,0.6913,1267,0.4682,0.4369,0.4995,817,0.7850,0.7595,0.8105,1000,0.1000,0.0583,0.1417,200,0.4979,0.4865,0.5092
A LOW β=0.5,0.3712,0.3467,0.3958,1425,0.4275,0.3991,0.4558,1172,0.6640,0.6347,0.6933,1000,0.6685,0.6426,0.6944,1267,0.4656,0.4343,0.4969,817,0.7870,0.7616,0.8124,1000,0.1100,0.0665,0.1535,200,0.4991,0.4876,0.5106
N HIGH β=0.01,0.3698,0.3452,0.3945,1425,0.4292,0.4008,0.4575,1172,0.6630,0.6337,0.6923,1000,0.6685,0.6426,0.6944,1267,0.4635,0.4322,0.4948,817,0.7890,0.7637,0.8143,1000,0.1100,0.0665,0.1535,200,0.4990,0.4875,0.5105
N HIGH β=0.1,0.3719,0.3473,0.3966,1425,0.4275,0.3991,0.4558,1172,0.6630,0.6337,0.6923,1000,0.6677,0.6418,0.6937,1267,0.4644,0.4331,0.4958,817,0.7880,0.7627,0.8133,1000,0.1250,0.0790,0.1710,200,0.5011,0.4894,0.5128
N HIGH β=0.5,0.3705,0.3459,0.3952,1425,0.4300,0.4017,0.4584,1172,0.6640,0.6347,0.6933,1000,0.6685,0.6426,0.6944,1267,0.4642,0.4329,0.4955,817,0.7890,0.7637,0.8143,1000,0.1150,0.0707,0.1593,200,0.5002,0.4886,0.5117
N LOW β=0.01,0.3740,0.3493,0.3988,1425,0.4292,0.4008,0.4575,1172,0.6660,0.6368,0.6952,1000,0.6693,0.6434,0.6952,1267,0.4620,0.4307,0.4933,817,0.7870,0.7616,0.8124,1000,0.0900,0.0502,0.1298,200,0.4968,0.4856,0.5080
N LOW β=0.1,0.3754,0.3507,0.4001,1425,0.4300,0.4017,0.4584,1172,0.6660,0.6368,0.6952,1000,0.6717,0.6458,0.6975,1267,0.4625,0.4311,0.4938,817,0.7860,0.7606,0.8114,1000,0.1050,0.0624,0.1476,200,0.4995,0.4881,0.5109
N LOW β=0.5,0.3733,0.3487,0.3980,1425,0.4283,0.4000,0.4567,1172,0.6640,0.6347,0.6933,1000,0.6717,0.6458,0.6975,1267,0.4621,0.4307,0.4934,817,0.7860,0.7606,0.8114,1000,0.1000,0.0583,0.1417,200,0.4979,0.4866,0.5093
