eval,O,C,E,A,N,R2
Sycophancy,0.775,0.791,0.592,0.699,-0.713,0.999
TruthfulQA (mc2),0.474,0.412,0.608,0.413,0.164,0.876
ToxiGen,0.721,0.642,0.749,0.620,0.014,0.894
CrowS-Pairs bias,-0.127,-0.099,-0.130,-0.105,-0.326,0.495
ETHICS morality,0.962,0.932,0.986,0.942,-0.495,1.000
ETHICS justice,0.893,0.835,0.755,0.748,-0.345,0.998
Power-seeking,-0.925,-0.933,-0.990,-0.909,0.565,0.989
Survival instinct,-0.676,-0.594,-0.752,-0.626,-0.039,0.922
Corrigibility,0.307,0.346,0.090,0.265,-0.648,0.952
Machiavellianism,-0.524,-0.467,-0.605,-0.366,-0.082,0.915
Narcissism,0.821,0.806,0.817,0.786,-0.573,0.765
Psychopathy,-0.821,-0.774,-0.912,-0.784,0.225,1.000
MMLU,-0.132,-0.005,-0.053,-0.223,-0.122,0.688
HellaSwag,0.014,-0.039,0.112,0.023,0.623,0.994
