model,config,offtarget_leakage,macro_downstream_delta
tulu-2-7b,O HIGH β=0.01,0.1150,+0.0054
tulu-2-7b,O HIGH β=0.1,0.1292,+0.0050
tulu-2-7b,O HIGH β=0.5,0.1058,+0.0043
tulu-2-7b,O LOW β=0.01,0.0558,+0.0002
tulu-2-7b,O LOW β=0.1,0.0517,+0.0023
tulu-2-7b,O LOW β=0.5,0.0500,+0.0003
tulu-2-7b,C HIGH β=0.01,0.1342,+0.0035
tulu-2-7b,C HIGH β=0.1,0.1233,+0.0026
tulu-2-7b,C HIGH β=0.5,0.1133,+0.0025
tulu-2-7b,C LOW β=0.01,0.0550,-0.0002
tulu-2-7b,C LOW β=0.1,0.0492,-0.0001
tulu-2-7b,C LOW β=0.5,0.0567,+0.0016
tulu-2-7b,E HIGH β=0.01,0.0875,+0.0022
tulu-2-7b,E HIGH β=0.1,0.0958,+0.0051
tulu-2-7b,E HIGH β=0.5,0.0917,+0.0016
tulu-2-7b,E LOW β=0.01,0.0517,-0.0018
tulu-2-7b,E LOW β=0.1,0.0575,+0.0004
tulu-2-7b,E LOW β=0.5,0.0725,+0.0024
tulu-2-7b,A HIGH β=0.01,0.0967,+0.0036
tulu-2-7b,A HIGH β=0.1,0.1025,+0.0048
tulu-2-7b,A HIGH β=0.5,0.0875,+0.0062
tulu-2-7b,A LOW β=0.01,0.0542,+0.0024
tulu-2-7b,A LOW β=0.1,0.0508,+0.0002
tulu-2-7b,A LOW β=0.5,0.0300,-0.0000
tulu-2-7b,N HIGH β=0.01,0.0942,+0.0023
tulu-2-7b,N HIGH β=0.1,0.0917,+0.0013
tulu-2-7b,N HIGH β=0.5,0.0883,+0.0008
tulu-2-7b,N LOW β=0.01,0.0575,+0.0010
tulu-2-7b,N LOW β=0.1,0.0750,+0.0029
tulu-2-7b,N LOW β=0.5,0.0717,+0.0008
tulu-2-13b,O HIGH β=0.01,0.1417,+0.0023
tulu-2-13b,O HIGH β=0.1,0.1400,+0.0011
tulu-2-13b,O HIGH β=0.5,0.1367,+0.0019
tulu-2-13b,O LOW β=0.01,0.0792,+0.0006
tulu-2-13b,O LOW β=0.1,0.0550,-0.0023
tulu-2-13b,O LOW β=0.5,0.0433,-0.0018
tulu-2-13b,C HIGH β=0.01,0.1508,+0.0021
tulu-2-13b,C HIGH β=0.1,0.1392,+0.0024
tulu-2-13b,C HIGH β=0.5,0.1292,+0.0034
tulu-2-13b,C LOW β=0.01,0.1633,-0.0024
tulu-2-13b,C LOW β=0.1,0.1617,-0.0000
