model,family,ctype,user,beta,trait,base,dpo,delta,t,p,sig
tulu-2-7b,Tulu-2,AGENT_HIGH,,0.01,O,3.103,3.22,0.117,1.36,0.1858,0
tulu-2-7b,Tulu-2,AGENT_HIGH,,0.01,C,3.23,3.457,0.227,2.053,0.0496,1
tulu-2-7b,Tulu-2,AGENT_HIGH,,0.01,E,3.233,3.5,0.267,3.574,0.0015,1
tulu-2-7b,Tulu-2,AGENT_HIGH,,0.01,A,3.16,3.503,0.343,2.764,0.0109,1
tulu-2-7b,Tulu-2,AGENT_HIGH,,0.01,N,2.897,2.753,-0.143,-1.267,0.2156,0
tulu-2-7b,Tulu-2,AGENT_HIGH,,0.1,O,3.103,3.25,0.147,1.504,0.1461,0
tulu-2-7b,Tulu-2,AGENT_HIGH,,0.1,C,3.23,3.347,0.117,1.132,0.2674,0
tulu-2-7b,Tulu-2,AGENT_HIGH,,0.1,E,3.233,3.437,0.203,2.547,0.0169,1
tulu-2-7b,Tulu-2,AGENT_HIGH,,0.1,A,3.16,3.39,0.23,1.901,0.0693,0
tulu-2-7b,Tulu-2,AGENT_HIGH,,0.1,N,2.897,2.857,-0.04,-0.357,0.7241,0
tulu-2-7b,Tulu-2,AGENT_HIGH,,0.5,O,3.103,3.17,0.067,0.716,0.4811,0
tulu-2-7b,Tulu-2,AGENT_HIGH,,0.5,C,3.23,3.32,0.09,0.856,0.3993,0
tulu-2-7b,Tulu-2,AGENT_HIGH,,0.5,E,3.233,3.39,0.157,1.784,0.0853,0
tulu-2-7b,Tulu-2,AGENT_HIGH,,0.5,A,3.16,3.34,0.18,1.882,0.0702,0
tulu-2-7b,Tulu-2,AGENT_HIGH,,0.5,N,2.897,2.827,-0.07,-0.687,0.4977,0
tulu-2-7b,Tulu-2,AGENT_LOW,,0.01,O,3.103,3.177,0.073,0.965,0.3427,0
tulu-2-7b,Tulu-2,AGENT_LOW,,0.01,C,3.23,3.253,0.023,0.209,0.8357,0
tulu-2-7b,Tulu-2,AGENT_LOW,,0.01,E,3.233,3.24,0.007,0.077,0.9393,0
tulu-2-7b,Tulu-2,AGENT_LOW,,0.01,A,3.16,3.263,0.103,0.852,0.4028,0
tulu-2-7b,Tulu-2,AGENT_LOW,,0.01,N,2.897,2.977,0.08,0.756,0.4559,0
tulu-2-7b,Tulu-2,AGENT_LOW,,0.1,O,3.103,3.12,0.017,0.223,0.8248,0
tulu-2-7b,Tulu-2,AGENT_LOW,,0.1,C,3.23,3.297,0.067,0.568,0.5748,0
tulu-2-7b,Tulu-2,AGENT_LOW,,0.1,E,3.233,3.293,0.06,0.649,0.522,0
tulu-2-7b,Tulu-2,AGENT_LOW,,0.1,A,3.16,3.31,0.15,1.267,0.2171,0
tulu-2-7b,Tulu-2,AGENT_LOW,,0.1,N,2.897,2.953,0.057,0.451,0.6557,0
tulu-2-7b,Tulu-2,AGENT_LOW,,0.5,O,3.103,3.117,0.013,0.181,0.8573,0
tulu-2-7b,Tulu-2,AGENT_LOW,,0.5,C,3.23,3.3,0.07,0.647,0.5231,0
tulu-2-7b,Tulu-2,AGENT_LOW,,0.5,E,3.233,3.257,0.023,0.284,0.7786,0
tulu-2-7b,Tulu-2,AGENT_LOW,,0.5,A,3.16,3.207,0.047,0.431,0.6697,0
tulu-2-7b,Tulu-2,AGENT_LOW,,0.5,N,2.897,2.987,0.09,1.007,0.3243,0
tulu-2-7b,Tulu-2,USER,109852,0.01,O,3.103,3.147,0.043,0.597,0.5554,0
tulu-2-7b,Tulu-2,USER,109852,0.01,C,3.23,3.307,0.077,0.757,0.4554,0
tulu-2-7b,Tulu-2,USER,109852,0.01,E,3.233,3.243,0.01,0.126,0.901,0
tulu-2-7b,Tulu-2,USER,109852,0.01,A,3.16,3.287,0.127,1.188,0.2455,0
tulu-2-7b,Tulu-2,USER,109852,0.01,N,2.897,2.883,-0.013,-0.134,0.8944,0
tulu-2-7b,Tulu-2,USER,109852,0.1,O,3.103,3.16,0.057,0.806,0.427,0
tulu-2-7b,Tulu-2,USER,109852,0.1,C,3.23,3.283,0.053,0.54,0.5933,0
tulu-2-7b,Tulu-2,USER,109852,0.1,E,3.233,3.293,0.06,0.684,0.4994,0
tulu-2-7b,Tulu-2,USER,109852,0.1,A,3.16,3.23,0.07,0.669,0.5089,0
tulu-2-7b,Tulu-2,USER,109852,0.1,N,2.897,2.927,0.03,0.305,0.7627,0
tulu-2-7b,Tulu-2,USER,109852,0.5,O,3.103,3.12,0.017,0.241,0.8113,0
tulu-2-7b,Tulu-2,USER,109852,0.5,C,3.23,3.247,0.017,0.16,0.8741,0
tulu-2-7b,Tulu-2,USER,109852,0.5,E,3.233,3.257,0.023,0.291,0.7731,0
tulu-2-7b,Tulu-2,USER,109852,0.5,A,3.16,3.23,0.07,0.662,0.5136,0
tulu-2-7b,Tulu-2,USER,109852,0.5,N,2.897,2.92,0.023,0.242,0.8109,0
tulu-2-7b,Tulu-2,USER,134055,0.01,O,3.103,3.207,0.103,1.051,0.304,0
tulu-2-7b,Tulu-2,USER,134055,0.01,C,3.23,3.347,0.117,0.964,0.3439,0
tulu-2-7b,Tulu-2,USER,134055,0.01,E,3.233,3.487,0.253,2.731,0.0109,1
tulu-2-7b,Tulu-2,USER,134055,0.01,A,3.16,3.38,0.22,2.066,0.0486,1
tulu-2-7b,Tulu-2,USER,134055,0.01,N,2.897,2.867,-0.03,-0.27,0.7894,0
tulu-2-7b,Tulu-2,USER,134055,0.1,O,3.103,3.153,0.05,0.608,0.5484,0
tulu-2-7b,Tulu-2,USER,134055,0.1,C,3.23,3.35,0.12,1.202,0.2396,0
tulu-2-7b,Tulu-2,USER,134055,0.1,E,3.233,3.4,0.167,2.006,0.0547,0
tulu-2-7b,Tulu-2,USER,134055,0.1,A,3.16,3.343,0.183,1.906,0.0669,0
tulu-2-7b,Tulu-2,USER,134055,0.1,N,2.897,2.907,0.01,0.095,0.9247,0
tulu-2-7b,Tulu-2,USER,134055,0.5,O,3.103,3.113,0.01,0.137,0.8917,0
tulu-2-7b,Tulu-2,USER,134055,0.5,C,3.23,3.253,0.023,0.205,0.8389,0
tulu-2-7b,Tulu-2,USER,134055,0.5,E,3.233,3.367,0.133,1.522,0.1391,0
tulu-2-7b,Tulu-2,USER,134055,0.5,A,3.16,3.26,0.1,0.991,0.3301,0
tulu-2-7b,Tulu-2,USER,134055,0.5,N,2.897,2.9,0.003,0.03,0.9763,0
tulu-2-7b,Tulu-2,USER,210570,0.01,O,3.103,3.133,0.03,0.373,0.7119,0
tulu-2-7b,Tulu-2,USER,210570,0.01,C,3.23,3.247,0.017,0.172,0.8646,0
tulu-2-7b,Tulu-2,USER,210570,0.01,E,3.233,3.367,0.133,1.735,0.0947,0
tulu-2-7b,Tulu-2,USER,210570,0.01,A,3.16,3.28,0.12,1.261,0.2176,0
tulu-2-7b,Tulu-2,USER,210570,0.01,N,2.897,2.85,-0.047,-0.512,0.6136,0
tulu-2-7b,Tulu-2,USER,210570,0.1,O,3.103,3.13,0.027,0.345,0.7328,0
tulu-2-7b,Tulu-2,USER,210570,0.1,C,3.23,3.27,0.04,0.392,0.698,0
tulu-2-7b,Tulu-2,USER,210570,0.1,E,3.233,3.373,0.14,1.682,0.1038,0
tulu-2-7b,Tulu-2,USER,210570,0.1,A,3.16,3.31,0.15,1.395,0.1747,0
tulu-2-7b,Tulu-2,USER,210570,0.1,N,2.897,2.747,-0.15,-1.327,0.1954,0
tulu-2-7b,Tulu-2,USER,210570,0.5,O,3.103,3.093,-0.01,-0.146,0.8846,0
tulu-2-7b,Tulu-2,USER,210570,0.5,C,3.23,3.253,0.023,0.234,0.8168,0
tulu-2-7b,Tulu-2,USER,210570,0.5,E,3.233,3.303,0.07,0.855,0.3997,0
tulu-2-7b,Tulu-2,USER,210570,0.5,A,3.16,3.217,0.057,0.602,0.5518,0
tulu-2-7b,Tulu-2,USER,210570,0.5,N,2.897,2.863,-0.033,-0.349,0.7297,0
tulu-2-7b,Tulu-2,USER,21330,0.01,O,3.103,3.157,0.053,0.732,0.47,0
tulu-2-7b,Tulu-2,USER,21330,0.01,C,3.23,3.237,0.007,0.068,0.946,0
tulu-2-7b,Tulu-2,USER,21330,0.01,E,3.233,3.297,0.063,0.755,0.4564,0
tulu-2-7b,Tulu-2,USER,21330,0.01,A,3.16,3.23,0.07,0.645,0.5245,0
tulu-2-7b,Tulu-2,USER,21330,0.01,N,2.897,2.877,-0.02,-0.195,0.8466,0
tulu-2-7b,Tulu-2,USER,21330,0.1,O,3.103,3.16,0.057,0.768,0.4489,0
tulu-2-7b,Tulu-2,USER,21330,0.1,C,3.23,3.23,0.0,0.0,1.0,0
